data_point_id,esrs_standard,metric_code,metric_name,value,unit,period,source,quality_score
DP-E1-020,E1,E1-6-TOT,Total GHG emissions (location-based),166050.00,tCO2e,2025-FY,aggregated,0.82
DP-E1-021,E1,E1-6-TOT-MKT,Total GHG emissions (market-based),161570.00,tCO2e,2025-FY,aggregated,0.82
DP-E1-022,E1,E1-6-INT-REV,GHG intensity per revenue,369.00,tCO2e/EUR M,2025-FY,calculated,0.82
DP-E1-023,E1,E1-6-INT-EMP,GHG intensity per employee,66.42,tCO2e/FTE,2025-FY,calculated,0.82
DP-E1-024,E1,E1-5-TOT,Total energy consumption,48500.00,MWh,2025-FY,metered,0.96
DP-E1-025,E1,E1-5-ELEC,Electricity consumption,32000.00,MWh,2025-FY,metered,0.97
DP-E1-026,E1,E1-5-GAS,Natural gas consumption,15200.00,MWh,2025-FY,metered,0.96
DP-E1-027,E1,E1-5-DIESEL,Diesel consumption (transport),1300.00,MWh,2025-FY,fleet_records,0.90
DP-E1-028,E1,E1-5-RENEW,Renewable electricity share,35.00,%,2025-FY,contractual_instruments,0.95
DP-E1-029,E1,E1-5-INT-REV,Energy intensity per revenue,107.80,MWh/EUR M,2025-FY,calculated,0.95
DP-E1-030,E1,E1-5-INT-AREA,Energy intensity per floor area,0.46,MWh/sqm,2025-FY,calculated,0.94
DP-E1-031,E1,E1-4-S1S2-TGT,Scope 1+2 reduction target,42.00,%,2030,target_setting,1.00
DP-E1-032,E1,E1-4-S3-TGT,Scope 3 reduction target,25.00,%,2030,target_setting,1.00
DP-E1-033,E1,E1-4-RENEW-TGT,Renewable energy target,100.00,%,2030,target_setting,1.00
DP-E1-034,E1,E1-4-NZ-TGT,Net zero target year,2050.00,year,long_term,target_setting,1.00
DP-E1-035,E1,E1-4-S1S2-PROG,Scope 1+2 reduction progress vs baseline,12.50,%,2025-FY,calculated,0.90
DP-E1-036,E1,E1-8-ICP,Internal carbon price,85.00,EUR/tCO2e,2025-FY,management_decision,1.00
DP-E1-037,E1,E1-8-ICP-TYPE,Internal carbon price type - shadow price,1.00,boolean,2025-FY,management_decision,1.00
DP-E1-038,E1,E1-9-PHYS-RISK,Physical risk exposure - high heat stress sites,2.00,count,2025-FY,climate_scenario,0.80
DP-E1-039,E1,E1-9-TRANS-RISK,Transition risk - carbon cost exposure,701250.00,EUR,2025-FY,scenario_analysis,0.75
DP-E1-040,E1,E1-9-PHYS-COST,Estimated physical risk financial impact,1200000.00,EUR,2025-FY,scenario_analysis,0.70
DP-E1-041,E1,E1-1-TRANS,Transition plan adopted,1.00,boolean,2025-FY,board_resolution,1.00
DP-E1-042,E1,E1-1-PARIS,Paris-aligned transition plan,1.00,boolean,2025-FY,verification,0.90
DP-E1-043,E1,E1-3-CAPEX,Climate-related CapEx,8750000.00,EUR,2025-FY,financial_records,0.95
DP-E1-044,E1,E1-3-OPEX,Climate-related OpEx,2100000.00,EUR,2025-FY,financial_records,0.95
DP-E1-045,E1,E1-7-OFFSET,Carbon credits purchased,500.00,tCO2e,2025-FY,registry_verification,0.98
DP-E1-046,E1,E1-7-OFFSET-TYPE,Carbon credit type - nature based,1.00,boolean,2025-FY,registry_verification,0.98
DP-E1-047,E1,E1-6-BIO-CO2,Biogenic CO2 emissions,120.00,tCO2,2025-FY,calculation,0.80
DP-E1-048,E1,E1-5-ELEC-DE,Electricity consumption Germany,24500.00,MWh,2025-FY,metered,0.97
DP-E1-049,E1,E1-5-ELEC-PL,Electricity consumption Poland,5200.00,MWh,2025-FY,metered,0.96
DP-E1-050,E1,E1-5-ELEC-CZ,Electricity consumption Czech Republic,1500.00,MWh,2025-FY,metered,0.96
DP-E1-051,E1,E1-5-ELEC-RO,Electricity consumption Romania,600.00,MWh,2025-FY,metered,0.95
DP-E1-052,E1,E1-5-ELEC-FR,Electricity consumption France,200.00,MWh,2025-FY,metered,0.95
DP-E1-053,E1,E1-5-GAS-DE,Natural gas consumption Germany,10500.00,MWh,2025-FY,metered,0.96
DP-E1-054,E1,E1-5-GAS-PL,Natural gas consumption Poland,3200.00,MWh,2025-FY,metered,0.95
DP-E1-055,E1,E1-5-GAS-RO,Natural gas consumption Romania,1500.00,MWh,2025-FY,metered,0.94
DP-E1-056,E1,E1-6-S1-DE,Scope 1 emissions Germany,5600.00,tCO2e,2025-FY,direct_measurement,0.95
DP-E1-057,E1,E1-6-S1-PL,Scope 1 emissions Poland,1700.00,tCO2e,2025-FY,direct_measurement,0.94
DP-E1-058,E1,E1-6-S1-RO,Scope 1 emissions Romania,800.00,tCO2e,2025-FY,direct_measurement,0.93
DP-E1-059,E1,E1-6-S1-CZ,Scope 1 emissions Czech Republic,100.00,tCO2e,2025-FY,calculation,0.88
DP-E1-060,E1,E1-6-S1-FR,Scope 1 emissions France,50.00,tCO2e,2025-FY,calculation,0.85
DP-E1-061,E1,E1-5-HEAT-REC,Waste heat recovered,2400.00,MWh,2025-FY,metered,0.92
DP-E1-062,E1,E1-5-SOLAR,On-site solar generation,850.00,MWh,2025-FY,metered,0.98
DP-E1-063,E1,E1-5-EFF-PROJ,Energy efficiency projects completed,8.00,count,2025-FY,project_records,1.00
DP-E1-064,E1,E1-5-EFF-SAV,Energy savings from efficiency projects,1850.00,MWh,2025-FY,measurement_verification,0.90
DP-E1-065,E1,E1-6-S1-REF,Scope 1 refrigerant emissions,350.00,tCO2e,2025-FY,leak_detection,0.85
DP-E1-066,E1,E1-6-S2-LOC-DE,Scope 2 location-based Germany,9800.00,tCO2e,2025-FY,grid_factor_calculation,0.92
DP-E1-067,E1,E1-6-S2-LOC-PL,Scope 2 location-based Poland,3900.00,tCO2e,2025-FY,grid_factor_calculation,0.91
DP-E1-068,E1,E1-6-S2-LOC-CZ,Scope 2 location-based Czech Republic,690.00,tCO2e,2025-FY,grid_factor_calculation,0.91
DP-E1-069,E1,E1-6-S2-LOC-RO,Scope 2 location-based Romania,240.00,tCO2e,2025-FY,grid_factor_calculation,0.90
DP-E1-070,E1,E1-6-S2-LOC-FR,Scope 2 location-based France,14.00,tCO2e,2025-FY,grid_factor_calculation,0.92
DP-E2-001,E2,E2-4-AIR-NOX,NOx emissions to air,45.20,tonnes,2025-FY,continuous_monitoring,0.94
DP-E2-002,E2,E2-4-AIR-SOX,SOx emissions to air,12.80,tonnes,2025-FY,continuous_monitoring,0.94
DP-E2-003,E2,E2-4-AIR-PM,Particulate matter emissions,8.50,tonnes,2025-FY,periodic_measurement,0.88
DP-E2-004,E2,E2-4-AIR-VOC,VOC emissions to air,22.30,tonnes,2025-FY,mass_balance,0.85
DP-E2-005,E2,E2-4-WAT-COD,Chemical oxygen demand in wastewater,185.00,tonnes,2025-FY,lab_analysis,0.92
DP-E2-006,E2,E2-4-WAT-BOD,Biochemical oxygen demand in wastewater,62.00,tonnes,2025-FY,lab_analysis,0.92
DP-E2-007,E2,E2-4-WAT-TSS,Total suspended solids in wastewater,28.50,tonnes,2025-FY,lab_analysis,0.91
DP-E2-008,E2,E2-4-WAT-METAL,Heavy metals in wastewater,0.85,tonnes,2025-FY,lab_analysis,0.93
DP-E2-009,E2,E2-5-SVHC,Substances of very high concern used,3.00,count,2025-FY,material_inventory,0.95
DP-E2-010,E2,E2-5-SVHC-MASS,SVHC total mass,2.80,tonnes,2025-FY,material_inventory,0.90
DP-E2-011,E2,E2-5-SOC,Substances of concern used,12.00,count,2025-FY,material_inventory,0.92
DP-E2-012,E2,E2-5-SOC-MASS,Substances of concern total mass,45.60,tonnes,2025-FY,material_inventory,0.88
DP-E2-013,E2,E2-4-SOIL,Soil contamination incidents,0.00,count,2025-FY,incident_records,1.00
DP-E2-014,E2,E2-3-NOX-TGT,NOx reduction target,30.00,%,2030,target_setting,1.00
DP-E2-015,E2,E2-3-VOC-TGT,VOC reduction target,40.00,%,2030,target_setting,1.00
DP-E2-016,E2,E2-6-FINES,Environmental fines and penalties,0.00,EUR,2025-FY,legal_records,1.00
DP-E2-017,E2,E2-6-REMEDIATION,Remediation provisions,350000.00,EUR,2025-FY,financial_records,0.95
DP-E2-018,E2,E2-4-AIR-CO,Carbon monoxide emissions,15.30,tonnes,2025-FY,periodic_measurement,0.87
DP-E2-019,E2,E2-4-WAT-N,Total nitrogen in wastewater,12.40,tonnes,2025-FY,lab_analysis,0.91
DP-E2-020,E2,E2-4-WAT-P,Total phosphorus in wastewater,1.80,tonnes,2025-FY,lab_analysis,0.91
DP-E3-001,E3,E3-4-INTAKE,Total water withdrawal,285000.00,m3,2025-FY,metered,0.96
DP-E3-002,E3,E3-4-INTAKE-MUNI,Municipal water withdrawal,210000.00,m3,2025-FY,metered,0.97
DP-E3-003,E3,E3-4-INTAKE-GW,Groundwater withdrawal,75000.00,m3,2025-FY,metered,0.95
DP-E3-004,E3,E3-4-DISCH,Total water discharge,225000.00,m3,2025-FY,metered,0.94
DP-E3-005,E3,E3-4-DISCH-SEWER,Discharge to municipal sewer,195000.00,m3,2025-FY,metered,0.95
DP-E3-006,E3,E3-4-DISCH-SW,Discharge to surface water,30000.00,m3,2025-FY,metered,0.93
DP-E3-007,E3,E3-4-CONS,Total water consumption,60000.00,m3,2025-FY,calculated,0.93
DP-E3-008,E3,E3-4-RECYC,Water recycled and reused,142500.00,m3,2025-FY,metered,0.92
DP-E3-009,E3,E3-4-RECYC-PCT,Water recycling rate,50.00,%,2025-FY,calculated,0.93
DP-E3-010,E3,E3-4-STRESS,Operations in water-stressed areas,1.00,count,2025-FY,wri_aqueduct,0.88
DP-E3-011,E3,E3-4-STRESS-VOL,Water withdrawn from stressed areas,75000.00,m3,2025-FY,metered,0.90
DP-E3-012,E3,E3-3-RED-TGT,Water reduction target,25.00,%,2030,target_setting,1.00
DP-E3-013,E3,E3-3-RECYC-TGT,Water recycling target,70.00,%,2030,target_setting,1.00
DP-E3-014,E3,E3-4-INT-REV,Water intensity per revenue,633.00,m3/EUR M,2025-FY,calculated,0.93
DP-E3-015,E3,E3-4-INT-PROD,Water intensity per unit produced,0.023,m3/unit,2025-FY,calculated,0.91
DP-E3-016,E3,E3-4-COOL,Cooling water usage,85000.00,m3,2025-FY,metered,0.94
DP-E3-017,E3,E3-4-PROCESS,Process water usage,120000.00,m3,2025-FY,metered,0.95
DP-E3-018,E3,E3-4-SANITARY,Sanitary water usage,80000.00,m3,2025-FY,estimated,0.80
DP-E3-019,E3,E3-5-COST,Water-related financial risks,450000.00,EUR,2025-FY,scenario_analysis,0.72
DP-E3-020,E3,E3-4-RAINWATER,Rainwater harvested,8500.00,m3,2025-FY,metered,0.90
DP-E4-001,E4,E4-5-LAND,Total land area occupied,105500.00,sqm,2025-FY,survey,0.95
DP-E4-002,E4,E4-5-SEALED,Sealed surface area,78000.00,sqm,2025-FY,survey,0.94
DP-E4-003,E4,E4-5-GREEN,Green area on company premises,12500.00,sqm,2025-FY,survey,0.94
DP-E4-004,E4,E4-5-PROT,Sites near protected areas (within 5km),1.00,count,2025-FY,gis_analysis,0.98
DP-E4-005,E4,E4-5-BIO-PLAN,Biodiversity management plan in place,1.00,boolean,2025-FY,management_records,1.00
DP-E4-006,E4,E4-5-TREES,Trees planted (reforestation program),500.00,count,2025-FY,project_records,1.00
DP-E4-007,E4,E4-5-SPECIES,Endangered species on company land,0.00,count,2025-FY,ecological_survey,0.92
DP-E4-008,E4,E4-5-DEFST,Deforestation-free commitment,1.00,boolean,2025-FY,policy_document,1.00
DP-E4-009,E4,E4-6-COST,Biodiversity-related financial risks,200000.00,EUR,2025-FY,scenario_analysis,0.68
DP-E4-010,E4,E4-3-INVEST,Biodiversity restoration investment,125000.00,EUR,2025-FY,financial_records,0.95
DP-E5-001,E5,E5-4-RAW,Total raw material input,82000.00,tonnes,2025-FY,procurement_records,0.93
DP-E5-002,E5,E5-4-RECYC-IN,Recycled material input,12300.00,tonnes,2025-FY,procurement_records,0.90
DP-E5-003,E5,E5-4-RECYC-PCT,Recycled content percentage,15.00,%,2025-FY,calculated,0.90
DP-E5-004,E5,E5-4-RENEW-IN,Renewable material input,3280.00,tonnes,2025-FY,procurement_records,0.88
DP-E5-005,E5,E5-4-STEEL,Steel input,45000.00,tonnes,2025-FY,procurement_records,0.95
DP-E5-006,E5,E5-4-PLASTIC,Plastic input,18500.00,tonnes,2025-FY,procurement_records,0.94
DP-E5-007,E5,E5-4-RUBBER,Rubber input,8200.00,tonnes,2025-FY,procurement_records,0.93
DP-E5-008,E5,E5-4-ALUMINUM,Aluminum input,6800.00,tonnes,2025-FY,procurement_records,0.94
DP-E5-009,E5,E5-4-CHEMICAL,Chemical input,3500.00,tonnes,2025-FY,procurement_records,0.92
DP-E5-010,E5,E5-5-WASTE-TOT,Total waste generated,8450.00,tonnes,2025-FY,waste_records,0.94
DP-E5-011,E5,E5-5-WASTE-HAZ,Hazardous waste generated,1250.00,tonnes,2025-FY,waste_records,0.95
DP-E5-012,E5,E5-5-WASTE-NHAZ,Non-hazardous waste generated,7200.00,tonnes,2025-FY,waste_records,0.94
DP-E5-013,E5,E5-5-WASTE-RECY,Waste recycled,5920.00,tonnes,2025-FY,waste_records,0.93
DP-E5-014,E5,E5-5-WASTE-INCIN,Waste incinerated (with energy recovery),1520.00,tonnes,2025-FY,waste_records,0.93
DP-E5-015,E5,E5-5-WASTE-LAND,Waste to landfill,845.00,tonnes,2025-FY,waste_records,0.94
DP-E5-016,E5,E5-5-WASTE-OTHER,Waste other disposal,165.00,tonnes,2025-FY,waste_records,0.90
DP-E5-017,E5,E5-5-DIV-RATE,Waste diversion from landfill rate,90.00,%,2025-FY,calculated,0.94
DP-E5-018,E5,E5-3-WASTE-TGT,Waste reduction target,20.00,%,2030,target_setting,1.00
DP-E5-019,E5,E5-3-RECYC-TGT,Recycled content target,25.00,%,2030,target_setting,1.00
DP-E5-020,E5,E5-3-CIRC-TGT,Circular economy revenue target,10.00,%,2030,target_setting,1.00
DP-E5-021,E5,E5-5-SCRAP-METAL,Metal scrap generated,3200.00,tonnes,2025-FY,waste_records,0.95
DP-E5-022,E5,E5-5-SCRAP-PLAST,Plastic scrap generated,1450.00,tonnes,2025-FY,waste_records,0.94
DP-E5-023,E5,E5-5-PACKAGING,Packaging waste generated,1800.00,tonnes,2025-FY,waste_records,0.93
DP-E5-024,E5,E5-6-COST,Waste disposal costs,1850000.00,EUR,2025-FY,financial_records,0.95
DP-E5-025,E5,E5-6-REV-SCRAP,Revenue from scrap sales,2400000.00,EUR,2025-FY,financial_records,0.96
DP-E5-026,E5,E5-4-WATER-IN,Water as material input,285000.00,m3,2025-FY,metered,0.96
DP-E5-027,E5,E5-5-EFFLUENT,Wastewater as material output,225000.00,m3,2025-FY,metered,0.94
DP-E5-028,E5,E5-4-CIRC-REV,Revenue from circular economy products,12500000.00,EUR,2025-FY,financial_records,0.92
DP-E5-029,E5,E5-5-WASTE-ELEC,Electronic waste generated,8.50,tonnes,2025-FY,waste_records,0.90
DP-E5-030,E5,E5-5-WASTE-INT,Waste intensity per unit produced,0.676,kg/unit,2025-FY,calculated,0.93
DP-S1-001,S1,S1-6-TOTAL,Total headcount,2500.00,FTE,2025-12-31,hr_system,0.99
DP-S1-002,S1,S1-6-PERM,Permanent employees,2200.00,FTE,2025-12-31,hr_system,0.99
DP-S1-003,S1,S1-6-TEMP,Temporary employees,300.00,FTE,2025-12-31,hr_system,0.99
DP-S1-004,S1,S1-7-CONTR,Non-employee workers (contractors),150.00,FTE,2025-12-31,hr_system,0.98
DP-S1-005,S1,S1-6-FT,Full-time employees,2350.00,FTE,2025-12-31,hr_system,0.99
DP-S1-006,S1,S1-6-PT,Part-time employees,150.00,FTE,2025-12-31,hr_system,0.99
DP-S1-007,S1,S1-9-F-TOTAL,Female employees percentage,37.50,%,2025-12-31,hr_system,0.99
DP-S1-008,S1,S1-9-M-TOTAL,Male employees percentage,62.00,%,2025-12-31,hr_system,0.99
DP-S1-009,S1,S1-9-NB-TOTAL,Non-binary employees percentage,0.50,%,2025-12-31,hr_system,0.99
DP-S1-010,S1,S1-9-F-MGMT,Female in management percentage,28.00,%,2025-12-31,hr_system,0.99
DP-S1-011,S1,S1-9-F-BOARD,Female on board percentage,33.30,%,2025-12-31,hr_system,1.00
DP-S1-012,S1,S1-9-F-EXEC,Female in executive committee percentage,25.00,%,2025-12-31,hr_system,1.00
DP-S1-013,S1,S1-9-AGE-U30,Employees under 30,22.00,%,2025-12-31,hr_system,0.99
DP-S1-014,S1,S1-9-AGE-3050,Employees 30-50,55.00,%,2025-12-31,hr_system,0.99
DP-S1-015,S1,S1-9-AGE-O50,Employees over 50,23.00,%,2025-12-31,hr_system,0.99
DP-S1-016,S1,S1-6-DE,Employees in Germany,1800.00,FTE,2025-12-31,hr_system,0.99
DP-S1-017,S1,S1-6-PL,Employees in Poland,350.00,FTE,2025-12-31,hr_system,0.99
DP-S1-018,S1,S1-6-CZ,Employees in Czech Republic,200.00,FTE,2025-12-31,hr_system,0.99
DP-S1-019,S1,S1-6-RO,Employees in Romania,100.00,FTE,2025-12-31,hr_system,0.99
DP-S1-020,S1,S1-6-FR,Employees in France,50.00,FTE,2025-12-31,hr_system,0.99
DP-S1-021,S1,S1-8-CBA,Collective bargaining coverage,78.00,%,2025-12-31,hr_system,0.98
DP-S1-022,S1,S1-8-UNION,Trade union membership rate,45.00,%,2025-12-31,hr_system,0.95
DP-S1-023,S1,S1-8-SOCIAL,Social dialogue - works councils active,5.00,count,2025-12-31,hr_system,1.00
DP-S1-024,S1,S1-13-TRAIN-HRS,Average training hours per employee,32.00,hours,2025-FY,lms_system,0.95
DP-S1-025,S1,S1-13-TRAIN-COST,Training and development spend,2800000.00,EUR,2025-FY,financial_records,0.96
DP-S1-026,S1,S1-13-TRAIN-PCT,Employees who received training,92.00,%,2025-FY,lms_system,0.94
DP-S1-027,S1,S1-13-TRAIN-F,Average training hours female employees,34.00,hours,2025-FY,lms_system,0.94
DP-S1-028,S1,S1-13-TRAIN-M,Average training hours male employees,30.50,hours,2025-FY,lms_system,0.94
DP-S1-029,S1,S1-14-LTIR,Lost time incident rate,1.20,per 200000 hrs,2025-FY,ehs_system,0.97
DP-S1-030,S1,S1-14-TRIR,Total recordable incident rate,2.80,per 200000 hrs,2025-FY,ehs_system,0.97
DP-S1-031,S1,S1-14-FATAL,Work-related fatalities,0.00,count,2025-FY,ehs_system,1.00
DP-S1-032,S1,S1-14-OCCILL,Occupational illness cases,3.00,count,2025-FY,ehs_system,0.98
DP-S1-033,S1,S1-14-NEARMISS,Near-miss incidents reported,245.00,count,2025-FY,ehs_system,0.92
DP-S1-034,S1,S1-14-LOSTDAYS,Lost days due to incidents,380.00,days,2025-FY,ehs_system,0.96
DP-S1-035,S1,S1-14-HSE-TRAIN,H&S training hours per employee,16.00,hours,2025-FY,lms_system,0.94
DP-S1-036,S1,S1-14-HSE-INVEST,H&S investment,1200000.00,EUR,2025-FY,financial_records,0.96
DP-S1-037,S1,S1-15-SICK,Sickness absence rate,4.20,%,2025-FY,hr_system,0.97
DP-S1-038,S1,S1-15-PARENTAL,Parental leave uptake rate,85.00,%,2025-FY,hr_system,0.96
DP-S1-039,S1,S1-15-FLEX,Employees on flexible work arrangements,35.00,%,2025-FY,hr_system,0.94
DP-S1-040,S1,S1-15-OVERTIME,Average overtime hours per employee per month,12.50,hours,2025-FY,hr_system,0.93
DP-S1-041,S1,S1-16-GPG-MEAN,Gender pay gap (mean),4.20,%,2025-FY,payroll_analysis,0.97
DP-S1-042,S1,S1-16-GPG-MED,Gender pay gap (median),3.80,%,2025-FY,payroll_analysis,0.97
DP-S1-043,S1,S1-16-CEO-MED,CEO-to-median worker pay ratio,18.50,ratio,2025-FY,payroll_analysis,0.98
DP-S1-044,S1,S1-16-CEO-TOTAL,CEO total compensation,1250000.00,EUR,2025-FY,annual_report,1.00
DP-S1-045,S1,S1-10-LIVING,Employees earning above living wage,100.00,%,2025-FY,payroll_analysis,0.98
DP-S1-046,S1,S1-10-ENTRY-RATIO,Entry-level wage to minimum wage ratio,1.35,ratio,2025-FY,payroll_analysis,0.97
DP-S1-047,S1,S1-11-PENSION,Employees with supplementary pension,88.00,%,2025-12-31,hr_system,0.98
DP-S1-048,S1,S1-11-HEALTH,Employees with supplementary health insurance,95.00,%,2025-12-31,hr_system,0.98
DP-S1-049,S1,S1-12-DISABILITY,Employees with disabilities,3.20,%,2025-12-31,hr_system,0.96
DP-S1-050,S1,S1-12-ACCESS,Accessibility-adapted workstations,85.00,%,2025-12-31,facility_records,0.90
DP-S1-051,S1,S1-17-COMPLAINTS,Discrimination complaints filed,4.00,count,2025-FY,compliance_records,1.00
DP-S1-052,S1,S1-17-RESOLVED,Complaints resolved,3.00,count,2025-FY,compliance_records,1.00
DP-S1-053,S1,S1-17-HR-INCIDENTS,Human rights incidents,0.00,count,2025-FY,compliance_records,1.00
DP-S1-054,S1,S1-17-WHISTLE,Whistleblower reports received,6.00,count,2025-FY,compliance_records,1.00
DP-S1-055,S1,S1-6-TURNOVER,Voluntary turnover rate,8.50,%,2025-FY,hr_system,0.98
DP-S1-056,S1,S1-6-HIRE-RATE,New hire rate,12.00,%,2025-FY,hr_system,0.98
DP-S1-057,S1,S1-6-RETENTION,Employee retention rate (1 year),91.50,%,2025-FY,hr_system,0.97
DP-S1-058,S1,S1-14-SEVERITY,Severity rate (lost days per 200k hrs),15.20,rate,2025-FY,ehs_system,0.96
DP-S1-059,S1,S1-13-DIGITAL,Digital skills training participation,68.00,%,2025-FY,lms_system,0.92
DP-S1-060,S1,S1-13-SUSTAIN,Sustainability training participation,75.00,%,2025-FY,lms_system,0.93
DP-S2-001,S2,S2-1-POLICY,Supply chain labor standards policy,1.00,boolean,2025-FY,policy_document,1.00
DP-S2-002,S2,S2-1-AUDIT,Supplier social audits conducted,42.00,count,2025-FY,audit_records,0.98
DP-S2-003,S2,S2-1-NONCOMP,Supplier non-compliance findings,8.00,count,2025-FY,audit_records,0.97
DP-S2-004,S2,S2-1-CORRECTIVE,Corrective action plans issued,6.00,count,2025-FY,audit_records,0.97
DP-S2-005,S2,S2-1-TERMINATED,Supplier relationships terminated for social non-compliance,1.00,count,2025-FY,procurement_records,1.00
DP-S2-006,S2,S2-2-GRIEVANCE,Value chain grievance mechanism available,1.00,boolean,2025-FY,policy_document,1.00
DP-S2-007,S2,S2-2-GRIEVANCE-CASES,Grievance cases from value chain workers,3.00,count,2025-FY,compliance_records,1.00
DP-S2-008,S2,S2-4-DD,Human rights due diligence conducted,1.00,boolean,2025-FY,dd_records,1.00
DP-S2-009,S2,S2-4-DD-SUPPLIERS,Suppliers covered by due diligence,62.00,%,2025-FY,dd_records,0.92
DP-S2-010,S2,S2-5-TGT-AUDIT,Supplier audit coverage target,80.00,%,2027,target_setting,1.00
DP-S2-011,S2,S2-4-TRAIN,Supplier training sessions conducted,12.00,count,2025-FY,training_records,0.98
DP-S2-012,S2,S2-4-INVEST,Social investment in supply chain,350000.00,EUR,2025-FY,financial_records,0.95
DP-S2-013,S2,S2-1-CODE,Suppliers signed code of conduct,88.00,%,2025-FY,procurement_records,0.96
DP-S2-014,S2,S2-4-CHILD,Child labor risk assessments conducted,22.00,count,2025-FY,audit_records,0.98
DP-S2-015,S2,S2-4-FORCED,Forced labor risk assessments conducted,22.00,count,2025-FY,audit_records,0.98
DP-S3-001,S3,S3-1-POLICY,Community engagement policy,1.00,boolean,2025-FY,policy_document,1.00
DP-S3-002,S3,S3-4-ASSESS,Community impact assessments conducted,3.00,count,2025-FY,assessment_records,0.95
DP-S3-003,S3,S3-4-INVEST,Community investment and donations,580000.00,EUR,2025-FY,financial_records,0.97
DP-S3-004,S3,S3-4-VOLUNTEER,Employee volunteer hours,4200.00,hours,2025-FY,hr_system,0.90
DP-S3-005,S3,S3-4-GRIEVANCE,Community grievance cases,2.00,count,2025-FY,compliance_records,1.00
DP-S3-006,S3,S3-4-RESOLVED,Community grievances resolved,2.00,count,2025-FY,compliance_records,1.00
DP-S3-007,S3,S3-4-INDIGENOUS,Indigenous peoples consultations,0.00,count,2025-FY,consultation_records,1.00
DP-S3-008,S3,S3-5-TGT-INVEST,Community investment target,750000.00,EUR,2027,target_setting,1.00
DP-S3-009,S3,S3-4-EDUCATION,Education program beneficiaries,350.00,count,2025-FY,program_records,0.92
DP-S3-010,S3,S3-4-LOCAL-HIRE,Local hiring percentage (within 50km),72.00,%,2025-FY,hr_system,0.95
DP-S4-001,S4,S4-1-POLICY,Consumer safety and quality policy,1.00,boolean,2025-FY,policy_document,1.00
DP-S4-002,S4,S4-4-RECALLS,Product recalls,0.00,count,2025-FY,quality_records,1.00
DP-S4-003,S4,S4-4-COMPLAINTS,Customer quality complaints,128.00,count,2025-FY,crm_system,0.95
DP-S4-004,S4,S4-4-RESOLVED,Complaints resolved within SLA,118.00,count,2025-FY,crm_system,0.95
DP-S4-005,S4,S4-4-PRIVACY,Data privacy incidents,1.00,count,2025-FY,compliance_records,1.00
DP-S4-006,S4,S4-4-DATA-REQ,Data subject access requests,12.00,count,2025-FY,dpo_records,0.98
DP-S4-007,S4,S4-5-TGT-QUALITY,Product defect rate target,0.10,%,2027,target_setting,1.00
DP-S4-008,S4,S4-4-DEFECT,Current product defect rate,0.15,%,2025-FY,quality_records,0.96
