Agent_ID,Blueprint_Name,Agent_Name,Domain,Subdomain,Category,Level,Sector_Instance,Region,Priority,Complexity,Market_Size_USD_Bn,Carbon_Impact_GtCO2_per_year,Payback_Years,Development_Timeline,Description
GLA-00011,Industrial Process Integration Communicator,Process Integration Communicator for Ceramics in Japan (Fleet level),Industrial,Process Integration,Communicator,Fleet,Ceramics,Japan,P2,Low,2.4,1.0,0.5-2,Q1 2027,AI communicator agent that communicates and engages process integration in the industrial sector for Ceramics in Japan at the fleet level to reduce emissions and operating cost.
GLA-00012,Industrial Future Fuels Coordinator,Future Fuels Coordinator for GenericIndustrial in Canada (Portfolio level),Industrial,Future Fuels,Coordinator,Portfolio,GenericIndustrial,Canada,P0,High,4.8,1.5,2-5,Q4 2025,AI coordinator agent that coordinates and orchestrates future fuels in the industrial sector for GenericIndustrial in Canada at the portfolio level to reduce emissions and operating cost.
GLA-00013,Industrial Steam & Boilers Optimizer,Steam & Boilers Optimizer for Steel in Nordics (Asset level),Industrial,Steam & Boilers,Optimizer,Asset,Steel,Nordics,P0,High,1.0,1.6,2-5,Q1 2026,AI optimizer agent that optimizes and enhances steam & boilers in the industrial sector for Steel in Nordics at the asset level to reduce emissions and operating cost.
GLA-00014,Industrial Combustion Monitor,Combustion Monitor for Cement in Australia (Site level),Industrial,Combustion,Monitor,Site,Cement,Australia,P1,Medium,1.8,1.4,1-3,Q2 2026,AI monitor agent that monitors and tracks combustion in the industrial sector for Cement in Australia at the site level to reduce emissions and operating cost.
GLA-00015,Industrial Process Heat Controller,Process Heat Controller for Chemicals in Brazil (Fleet level),Industrial,Process Heat,Controller,Fleet,Chemicals,Brazil,P1,Medium,6.0,2.5,1-3,Q3 2026,AI controller agent that controls and regulates process heat in the industrial sector for Chemicals in Brazil at the fleet level to reduce emissions and operating cost.
GLA-00016,Industrial Heat Recovery Automator,Heat Recovery Automator for Refining in Global (Portfolio level),Industrial,Heat Recovery,Automator,Portfolio,Refining,Global,P1,Medium,6.0,1.8,1-3,Q2 2026,AI automator agent that automates and manages heat recovery in the industrial sector for Refining in Global at the portfolio level to reduce emissions and operating cost.
GLA-00017,Industrial Heat Pumps Predictor,Heat Pumps Predictor for Petrochemicals in US (Asset level),Industrial,Heat Pumps,Predictor,Asset,Petrochemicals,US,P1,Medium,1.8,2.2,1-3,Q3 2026,AI predictor agent that predicts and forecasts heat pumps in the industrial sector for Petrochemicals in US at the asset level to reduce emissions and operating cost.
GLA-00018,Industrial Process Integration Analyzer,Process Integration Analyzer for PulpPaper in EU (Site level),Industrial,Process Integration,Analyzer,Site,PulpPaper,EU,P1,Medium,1.6,1.0,1-3,Q2 2026,AI analyzer agent that analyzes and evaluates process integration in the industrial sector for PulpPaper in EU at the site level to reduce emissions and operating cost.
GLA-00019,Industrial Future Fuels Calculator,Future Fuels Calculator for FoodBeverage in UK (Fleet level),Industrial,Future Fuels,Calculator,Fleet,FoodBeverage,UK,P2,Low,3.6,1.5,0.5-2,Q1 2027,AI calculator agent that calculates and quantifies future fuels in the industrial sector for FoodBeverage in UK at the fleet level to reduce emissions and operating cost.
GLA-00020,Industrial Steam & Boilers Reporter,Steam & Boilers Reporter for Glass in China (Portfolio level),Industrial,Steam & Boilers,Reporter,Portfolio,Glass,China,P2,Low,4.0,1.6,0.5-2,Q4 2026,AI reporter agent that reports and documents steam & boilers in the industrial sector for Glass in China at the portfolio level to reduce emissions and operating cost.
GLA-00021,Industrial Combustion Integrator,Combustion Integrator for Mining in India (Asset level),Industrial,Combustion,Integrator,Asset,Mining,India,P0,High,0.9,1.4,2-5,Q1 2026,AI integrator agent that integrates and connects combustion in the industrial sector for Mining in India at the asset level to reduce emissions and operating cost.
GLA-00022,Industrial Process Heat Communicator,Process Heat Communicator for Ceramics in SEAsia (Site level),Industrial,Process Heat,Communicator,Site,Ceramics,SEAsia,P2,Low,4.0,2.5,0.5-2,Q4 2026,AI communicator agent that communicates and engages process heat in the industrial sector for Ceramics in SEAsia at the site level to reduce emissions and operating cost.
GLA-00023,Industrial Heat Recovery Coordinator,Heat Recovery Coordinator for GenericIndustrial in MENA (Fleet level),Industrial,Heat Recovery,Coordinator,Fleet,GenericIndustrial,MENA,P0,High,4.5,1.8,2-5,Q1 2026,AI coordinator agent that coordinates and orchestrates heat recovery in the industrial sector for GenericIndustrial in MENA at the fleet level to reduce emissions and operating cost.
GLA-00024,Industrial Heat Pumps Optimizer,Heat Pumps Optimizer for Steel in LatAm (Portfolio level),Industrial,Heat Pumps,Optimizer,Portfolio,Steel,LatAm,P0,High,7.2,2.2,2-5,Q4 2025,AI optimizer agent that optimizes and enhances heat pumps in the industrial sector for Steel in LatAm at the portfolio level to reduce emissions and operating cost.
GLA-00025,Industrial Process Integration Monitor,Process Integration Monitor for Cement in Africa (Asset level),Industrial,Process Integration,Monitor,Asset,Cement,Africa,P1,Medium,0.8,1.0,1-3,Q3 2026,AI monitor agent that monitors and tracks process integration in the industrial sector for Cement in Africa at the asset level to reduce emissions and operating cost.
GLA-00026,Industrial Future Fuels Controller,Future Fuels Controller for Chemicals in Japan (Site level),Industrial,Future Fuels,Controller,Site,Chemicals,Japan,P1,Medium,2.4,1.5,1-3,Q2 2026,AI controller agent that controls and regulates future fuels in the industrial sector for Chemicals in Japan at the site level to reduce emissions and operating cost.
GLA-00027,Industrial Steam & Boilers Automator,Steam & Boilers Automator for Refining in Canada (Fleet level),Industrial,Steam & Boilers,Automator,Fleet,Refining,Canada,P1,Medium,3.0,1.6,1-3,Q3 2026,AI automator agent that automates and manages steam & boilers in the industrial sector for Refining in Canada at the fleet level to reduce emissions and operating cost.
GLA-00028,Industrial Combustion Predictor,Combustion Predictor for Petrochemicals in Nordics (Portfolio level),Industrial,Combustion,Predictor,Portfolio,Petrochemicals,Nordics,P1,Medium,3.6,1.4,1-3,Q2 2026,AI predictor agent that predicts and forecasts combustion in the industrial sector for Petrochemicals in Nordics at the portfolio level to reduce emissions and operating cost.
GLA-00029,Industrial Process Heat Analyzer,Process Heat Analyzer for PulpPaper in Australia (Asset level),Industrial,Process Heat,Analyzer,Asset,PulpPaper,Australia,P1,Medium,2.0,2.5,1-3,Q3 2026,AI analyzer agent that analyzes and evaluates process heat in the industrial sector for PulpPaper in Australia at the asset level to reduce emissions and operating cost.
GLA-00030,Industrial Heat Recovery Calculator,Heat Recovery Calculator for FoodBeverage in Brazil (Site level),Industrial,Heat Recovery,Calculator,Site,FoodBeverage,Brazil,P2,Low,3.0,1.8,0.5-2,Q4 2026,AI calculator agent that calculates and quantifies heat recovery in the industrial sector for FoodBeverage in Brazil at the site level to reduce emissions and operating cost.
GLA-00031,Industrial Heat Pumps Reporter,Heat Pumps Reporter for Glass in Global (Fleet level),Industrial,Heat Pumps,Reporter,Fleet,Glass,Global,P2,Low,5.4,2.2,0.5-2,Q1 2027,AI reporter agent that reports and documents heat pumps in the industrial sector for Glass in Global at the fleet level to reduce emissions and operating cost.
GLA-00032,Industrial Process Integration Integrator,Process Integration Integrator for Mining in US (Portfolio level),Industrial,Process Integration,Integrator,Portfolio,Mining,US,P0,High,3.2,1.0,2-5,Q4 2025,AI integrator agent that integrates and connects process integration in the industrial sector for Mining in US at the portfolio level to reduce emissions and operating cost.
GLA-00033,Industrial Future Fuels Communicator,Future Fuels Communicator for Ceramics in EU (Asset level),Industrial,Future Fuels,Communicator,Asset,Ceramics,EU,P2,Low,1.2,1.5,0.5-2,Q1 2027,AI communicator agent that communicates and engages future fuels in the industrial sector for Ceramics in EU at the asset level to reduce emissions and operating cost.
GLA-00034,Industrial Steam & Boilers Coordinator,Steam & Boilers Coordinator for GenericIndustrial in UK (Site level),Industrial,Steam & Boilers,Coordinator,Site,GenericIndustrial,UK,P0,High,2.0,1.6,2-5,Q4 2025,AI coordinator agent that coordinates and orchestrates steam & boilers in the industrial sector for GenericIndustrial in UK at the site level to reduce emissions and operating cost.
GLA-00035,Industrial Combustion Optimizer,Combustion Optimizer for Steel in China (Fleet level),Industrial,Combustion,Optimizer,Fleet,Steel,China,P0,High,2.7,1.4,2-5,Q1 2026,AI optimizer agent that optimizes and enhances combustion in the industrial sector for Steel in China at the fleet level to reduce emissions and operating cost.
GLA-00036,Industrial Process Heat Monitor,Process Heat Monitor for Cement in India (Portfolio level),Industrial,Process Heat,Monitor,Portfolio,Cement,India,P1,Medium,8.0,2.5,1-3,Q2 2026,AI monitor agent that monitors and tracks process heat in the industrial sector for Cement in India at the portfolio level to reduce emissions and operating cost.
GLA-00037,Industrial Heat Recovery Controller,Heat Recovery Controller for Chemicals in SEAsia (Asset level),Industrial,Heat Recovery,Controller,Asset,Chemicals,SEAsia,P1,Medium,1.5,1.8,1-3,Q3 2026,AI controller agent that controls and regulates heat recovery in the industrial sector for Chemicals in SEAsia at the asset level to reduce emissions and operating cost.
GLA-00038,Industrial Heat Pumps Automator,Heat Pumps Automator for Refining in MENA (Site level),Industrial,Heat Pumps,Automator,Site,Refining,MENA,P1,Medium,3.6,2.2,1-3,Q2 2026,AI automator agent that automates and manages heat pumps in the industrial sector for Refining in MENA at the site level to reduce emissions and operating cost.
GLA-00039,Industrial Process Integration Predictor,Process Integration Predictor for Petrochemicals in LatAm (Fleet level),Industrial,Process Integration,Predictor,Fleet,Petrochemicals,LatAm,P1,Medium,2.4,1.0,1-3,Q3 2026,AI predictor agent that predicts and forecasts process integration in the industrial sector for Petrochemicals in LatAm at the fleet level to reduce emissions and operating cost.
GLA-00040,Industrial Future Fuels Analyzer,Future Fuels Analyzer for PulpPaper in Africa (Portfolio level),Industrial,Future Fuels,Analyzer,Portfolio,PulpPaper,Africa,P1,Medium,4.8,1.5,1-3,Q2 2026,AI analyzer agent that analyzes and evaluates future fuels in the industrial sector for PulpPaper in Africa at the portfolio level to reduce emissions and operating cost.
GLA-00041,Industrial Steam & Boilers Calculator,Steam & Boilers Calculator for FoodBeverage in Japan (Asset level),Industrial,Steam & Boilers,Calculator,Asset,FoodBeverage,Japan,P2,Low,1.0,1.6,0.5-2,Q1 2027,AI calculator agent that calculates and quantifies steam & boilers in the industrial sector for FoodBeverage in Japan at the asset level to reduce emissions and operating cost.
GLA-00042,Industrial Combustion Reporter,Combustion Reporter for Glass in Canada (Site level),Industrial,Combustion,Reporter,Site,Glass,Canada,P2,Low,1.8,1.4,0.5-2,Q4 2026,AI reporter agent that reports and documents combustion in the industrial sector for Glass in Canada at the site level to reduce emissions and operating cost.
GLA-00043,Industrial Process Heat Integrator,Process Heat Integrator for Mining in Nordics (Fleet level),Industrial,Process Heat,Integrator,Fleet,Mining,Nordics,P0,High,6.0,2.5,2-5,Q1 2026,AI integrator agent that integrates and connects process heat in the industrial sector for Mining in Nordics at the fleet level to reduce emissions and operating cost.
GLA-00044,Industrial Heat Recovery Communicator,Heat Recovery Communicator for Ceramics in Australia (Portfolio level),Industrial,Heat Recovery,Communicator,Portfolio,Ceramics,Australia,P2,Low,6.0,1.8,0.5-2,Q4 2026,AI communicator agent that communicates and engages heat recovery in the industrial sector for Ceramics in Australia at the portfolio level to reduce emissions and operating cost.
GLA-00045,Industrial Heat Pumps Coordinator,Heat Pumps Coordinator for GenericIndustrial in Brazil (Asset level),Industrial,Heat Pumps,Coordinator,Asset,GenericIndustrial,Brazil,P0,High,1.8,2.2,2-5,Q1 2026,AI coordinator agent that coordinates and orchestrates heat pumps in the industrial sector for GenericIndustrial in Brazil at the asset level to reduce emissions and operating cost.
GLA-00046,Industrial Process Integration Optimizer,Process Integration Optimizer for Steel in Global (Site level),Industrial,Process Integration,Optimizer,Site,Steel,Global,P0,High,1.6,1.0,2-5,Q4 2025,AI optimizer agent that optimizes and enhances process integration in the industrial sector for Steel in Global at the site level to reduce emissions and operating cost.
GLA-00047,Industrial Future Fuels Monitor,Future Fuels Monitor for Cement in US (Fleet level),Industrial,Future Fuels,Monitor,Fleet,Cement,US,P1,Medium,3.6,1.5,1-3,Q3 2026,AI monitor agent that monitors and tracks future fuels in the industrial sector for Cement in US at the fleet level to reduce emissions and operating cost.
GLA-00048,Industrial Steam & Boilers Controller,Steam & Boilers Controller for Chemicals in EU (Portfolio level),Industrial,Steam & Boilers,Controller,Portfolio,Chemicals,EU,P1,Medium,4.0,1.6,1-3,Q2 2026,AI controller agent that controls and regulates steam & boilers in the industrial sector for Chemicals in EU at the portfolio level to reduce emissions and operating cost.
GLA-00049,Industrial Combustion Automator,Combustion Automator for Refining in UK (Asset level),Industrial,Combustion,Automator,Asset,Refining,UK,P1,Medium,0.9,1.4,1-3,Q3 2026,AI automator agent that automates and manages combustion in the industrial sector for Refining in UK at the asset level to reduce emissions and operating cost.
GLA-00050,Industrial Process Heat Predictor,Process Heat Predictor for Petrochemicals in China (Site level),Industrial,Process Heat,Predictor,Site,Petrochemicals,China,P1,Medium,4.0,2.5,1-3,Q2 2026,AI predictor agent that predicts and forecasts process heat in the industrial sector for Petrochemicals in China at the site level to reduce emissions and operating cost.
GLA-00051,Industrial Heat Recovery Analyzer,Heat Recovery Analyzer for PulpPaper in India (Fleet level),Industrial,Heat Recovery,Analyzer,Fleet,PulpPaper,India,P1,Medium,4.5,1.8,1-3,Q3 2026,AI analyzer agent that analyzes and evaluates heat recovery in the industrial sector for PulpPaper in India at the fleet level to reduce emissions and operating cost.
GLA-00052,Industrial Heat Pumps Calculator,Heat Pumps Calculator for FoodBeverage in SEAsia (Portfolio level),Industrial,Heat Pumps,Calculator,Portfolio,FoodBeverage,SEAsia,P2,Low,7.2,2.2,0.5-2,Q4 2026,AI calculator agent that calculates and quantifies heat pumps in the industrial sector for FoodBeverage in SEAsia at the portfolio level to reduce emissions and operating cost.
GLA-00053,Industrial Process Integration Reporter,Process Integration Reporter for Glass in MENA (Asset level),Industrial,Process Integration,Reporter,Asset,Glass,MENA,P2,Low,0.8,1.0,0.5-2,Q1 2027,AI reporter agent that reports and documents process integration in the industrial sector for Glass in MENA at the asset level to reduce emissions and operating cost.
GLA-00054,Industrial Future Fuels Integrator,Future Fuels Integrator for Mining in LatAm (Site level),Industrial,Future Fuels,Integrator,Site,Mining,LatAm,P0,High,2.4,1.5,2-5,Q4 2025,AI integrator agent that integrates and connects future fuels in the industrial sector for Mining in LatAm at the site level to reduce emissions and operating cost.
GLA-00055,Industrial Steam & Boilers Communicator,Steam & Boilers Communicator for Ceramics in Africa (Fleet level),Industrial,Steam & Boilers,Communicator,Fleet,Ceramics,Africa,P2,Low,3.0,1.6,0.5-2,Q1 2027,AI communicator agent that communicates and engages steam & boilers in the industrial sector for Ceramics in Africa at the fleet level to reduce emissions and operating cost.
GLA-00056,Industrial Combustion Coordinator,Combustion Coordinator for GenericIndustrial in Japan (Portfolio level),Industrial,Combustion,Coordinator,Portfolio,GenericIndustrial,Japan,P0,High,3.6,1.4,2-5,Q4 2025,AI coordinator agent that coordinates and orchestrates combustion in the industrial sector for GenericIndustrial in Japan at the portfolio level to reduce emissions and operating cost.
GLA-00057,Industrial Process Heat Optimizer,Process Heat Optimizer for Steel in Canada (Asset level),Industrial,Process Heat,Optimizer,Asset,Steel,Canada,P0,High,2.0,2.5,2-5,Q1 2026,AI optimizer agent that optimizes and enhances process heat in the industrial sector for Steel in Canada at the asset level to reduce emissions and operating cost.
GLA-00058,Industrial Heat Recovery Monitor,Heat Recovery Monitor for Cement in Nordics (Site level),Industrial,Heat Recovery,Monitor,Site,Cement,Nordics,P1,Medium,3.0,1.8,1-3,Q2 2026,AI monitor agent that monitors and tracks heat recovery in the industrial sector for Cement in Nordics at the site level to reduce emissions and operating cost.
GLA-00059,Industrial Heat Pumps Controller,Heat Pumps Controller for Chemicals in Australia (Fleet level),Industrial,Heat Pumps,Controller,Fleet,Chemicals,Australia,P1,Medium,5.4,2.2,1-3,Q3 2026,AI controller agent that controls and regulates heat pumps in the industrial sector for Chemicals in Australia at the fleet level to reduce emissions and operating cost.
GLA-00060,Industrial Process Integration Automator,Process Integration Automator for Refining in Brazil (Portfolio level),Industrial,Process Integration,Automator,Portfolio,Refining,Brazil,P1,Medium,3.2,1.0,1-3,Q2 2026,AI automator agent that automates and manages process integration in the industrial sector for Refining in Brazil at the portfolio level to reduce emissions and operating cost.
GLA-00061,Industrial Future Fuels Predictor,Future Fuels Predictor for Petrochemicals in Global (Asset level),Industrial,Future Fuels,Predictor,Asset,Petrochemicals,Global,P1,Medium,1.2,1.5,1-3,Q3 2026,AI predictor agent that predicts and forecasts future fuels in the industrial sector for Petrochemicals in Global at the asset level to reduce emissions and operating cost.
GLA-00062,Industrial Steam & Boilers Analyzer,Steam & Boilers Analyzer for PulpPaper in US (Site level),Industrial,Steam & Boilers,Analyzer,Site,PulpPaper,US,P1,Medium,2.0,1.6,1-3,Q2 2026,AI analyzer agent that analyzes and evaluates steam & boilers in the industrial sector for PulpPaper in US at the site level to reduce emissions and operating cost.
GLA-00063,Industrial Combustion Calculator,Combustion Calculator for FoodBeverage in EU (Fleet level),Industrial,Combustion,Calculator,Fleet,FoodBeverage,EU,P2,Low,2.7,1.4,0.5-2,Q1 2027,AI calculator agent that calculates and quantifies combustion in the industrial sector for FoodBeverage in EU at the fleet level to reduce emissions and operating cost.
GLA-00064,Industrial Process Heat Reporter,Process Heat Reporter for Glass in UK (Portfolio level),Industrial,Process Heat,Reporter,Portfolio,Glass,UK,P2,Low,8.0,2.5,0.5-2,Q4 2026,AI reporter agent that reports and documents process heat in the industrial sector for Glass in UK at the portfolio level to reduce emissions and operating cost.
GLA-00065,Industrial Heat Recovery Integrator,Heat Recovery Integrator for Mining in China (Asset level),Industrial,Heat Recovery,Integrator,Asset,Mining,China,P0,High,1.5,1.8,2-5,Q1 2026,AI integrator agent that integrates and connects heat recovery in the industrial sector for Mining in China at the asset level to reduce emissions and operating cost.
GLA-00066,Industrial Heat Pumps Communicator,Heat Pumps Communicator for Ceramics in India (Site level),Industrial,Heat Pumps,Communicator,Site,Ceramics,India,P2,Low,3.6,2.2,0.5-2,Q4 2026,AI communicator agent that communicates and engages heat pumps in the industrial sector for Ceramics in India at the site level to reduce emissions and operating cost.
GLA-00067,Industrial Process Integration Coordinator,Process Integration Coordinator for GenericIndustrial in SEAsia (Fleet level),Industrial,Process Integration,Coordinator,Fleet,GenericIndustrial,SEAsia,P0,High,2.4,1.0,2-5,Q1 2026,AI coordinator agent that coordinates and orchestrates process integration in the industrial sector for GenericIndustrial in SEAsia at the fleet level to reduce emissions and operating cost.
GLA-00068,Industrial Future Fuels Optimizer,Future Fuels Optimizer for Steel in MENA (Portfolio level),Industrial,Future Fuels,Optimizer,Portfolio,Steel,MENA,P0,High,4.8,1.5,2-5,Q4 2025,AI optimizer agent that optimizes and enhances future fuels in the industrial sector for Steel in MENA at the portfolio level to reduce emissions and operating cost.
GLA-00069,Industrial Steam & Boilers Monitor,Steam & Boilers Monitor for Cement in LatAm (Asset level),Industrial,Steam & Boilers,Monitor,Asset,Cement,LatAm,P1,Medium,1.0,1.6,1-3,Q3 2026,AI monitor agent that monitors and tracks steam & boilers in the industrial sector for Cement in LatAm at the asset level to reduce emissions and operating cost.
GLA-00070,Industrial Combustion Controller,Combustion Controller for Chemicals in Africa (Site level),Industrial,Combustion,Controller,Site,Chemicals,Africa,P1,Medium,1.8,1.4,1-3,Q2 2026,AI controller agent that controls and regulates combustion in the industrial sector for Chemicals in Africa at the site level to reduce emissions and operating cost.
GLA-00071,Industrial Process Heat Automator,Process Heat Automator for Refining in Japan (Fleet level),Industrial,Process Heat,Automator,Fleet,Refining,Japan,P1,Medium,6.0,2.5,1-3,Q3 2026,AI automator agent that automates and manages process heat in the industrial sector for Refining in Japan at the fleet level to reduce emissions and operating cost.
GLA-00072,Industrial Heat Recovery Predictor,Heat Recovery Predictor for Petrochemicals in Canada (Portfolio level),Industrial,Heat Recovery,Predictor,Portfolio,Petrochemicals,Canada,P1,Medium,6.0,1.8,1-3,Q2 2026,AI predictor agent that predicts and forecasts heat recovery in the industrial sector for Petrochemicals in Canada at the portfolio level to reduce emissions and operating cost.
GLA-00073,Industrial Heat Pumps Analyzer,Heat Pumps Analyzer for PulpPaper in Nordics (Asset level),Industrial,Heat Pumps,Analyzer,Asset,PulpPaper,Nordics,P1,Medium,1.8,2.2,1-3,Q3 2026,AI analyzer agent that analyzes and evaluates heat pumps in the industrial sector for PulpPaper in Nordics at the asset level to reduce emissions and operating cost.
GLA-00074,Industrial Process Integration Calculator,Process Integration Calculator for FoodBeverage in Australia (Site level),Industrial,Process Integration,Calculator,Site,FoodBeverage,Australia,P2,Low,1.6,1.0,0.5-2,Q4 2026,AI calculator agent that calculates and quantifies process integration in the industrial sector for FoodBeverage in Australia at the site level to reduce emissions and operating cost.
GLA-00075,Industrial Future Fuels Reporter,Future Fuels Reporter for Glass in Brazil (Fleet level),Industrial,Future Fuels,Reporter,Fleet,Glass,Brazil,P2,Low,3.6,1.5,0.5-2,Q1 2027,AI reporter agent that reports and documents future fuels in the industrial sector for Glass in Brazil at the fleet level to reduce emissions and operating cost.
GLA-00076,Industrial Steam & Boilers Integrator,Steam & Boilers Integrator for Mining in Global (Portfolio level),Industrial,Steam & Boilers,Integrator,Portfolio,Mining,Global,P0,High,4.0,1.6,2-5,Q4 2025,AI integrator agent that integrates and connects steam & boilers in the industrial sector for Mining in Global at the portfolio level to reduce emissions and operating cost.
GLA-00077,Industrial Combustion Communicator,Combustion Communicator for Ceramics in US (Asset level),Industrial,Combustion,Communicator,Asset,Ceramics,US,P2,Low,0.9,1.4,0.5-2,Q1 2027,AI communicator agent that communicates and engages combustion in the industrial sector for Ceramics in US at the asset level to reduce emissions and operating cost.
GLA-00078,Industrial Process Heat Coordinator,Process Heat Coordinator for GenericIndustrial in EU (Site level),Industrial,Process Heat,Coordinator,Site,GenericIndustrial,EU,P0,High,4.0,2.5,2-5,Q4 2025,AI coordinator agent that coordinates and orchestrates process heat in the industrial sector for GenericIndustrial in EU at the site level to reduce emissions and operating cost.
GLA-00079,Industrial Heat Recovery Optimizer,Heat Recovery Optimizer for Steel in UK (Fleet level),Industrial,Heat Recovery,Optimizer,Fleet,Steel,UK,P0,High,4.5,1.8,2-5,Q1 2026,AI optimizer agent that optimizes and enhances heat recovery in the industrial sector for Steel in UK at the fleet level to reduce emissions and operating cost.
GLA-00080,Industrial Heat Pumps Monitor,Heat Pumps Monitor for Cement in China (Portfolio level),Industrial,Heat Pumps,Monitor,Portfolio,Cement,China,P1,Medium,7.2,2.2,1-3,Q2 2026,AI monitor agent that monitors and tracks heat pumps in the industrial sector for Cement in China at the portfolio level to reduce emissions and operating cost.
GLA-00081,Industrial Process Integration Controller,Process Integration Controller for Chemicals in India (Asset level),Industrial,Process Integration,Controller,Asset,Chemicals,India,P1,Medium,0.8,1.0,1-3,Q3 2026,AI controller agent that controls and regulates process integration in the industrial sector for Chemicals in India at the asset level to reduce emissions and operating cost.
GLA-00082,Industrial Future Fuels Automator,Future Fuels Automator for Refining in SEAsia (Site level),Industrial,Future Fuels,Automator,Site,Refining,SEAsia,P1,Medium,2.4,1.5,1-3,Q2 2026,AI automator agent that automates and manages future fuels in the industrial sector for Refining in SEAsia at the site level to reduce emissions and operating cost.
GLA-00083,Industrial Steam & Boilers Predictor,Steam & Boilers Predictor for Petrochemicals in MENA (Fleet level),Industrial,Steam & Boilers,Predictor,Fleet,Petrochemicals,MENA,P1,Medium,3.0,1.6,1-3,Q3 2026,AI predictor agent that predicts and forecasts steam & boilers in the industrial sector for Petrochemicals in MENA at the fleet level to reduce emissions and operating cost.
GLA-00084,Industrial Combustion Analyzer,Combustion Analyzer for PulpPaper in LatAm (Portfolio level),Industrial,Combustion,Analyzer,Portfolio,PulpPaper,LatAm,P1,Medium,3.6,1.4,1-3,Q2 2026,AI analyzer agent that analyzes and evaluates combustion in the industrial sector for PulpPaper in LatAm at the portfolio level to reduce emissions and operating cost.
GLA-00085,Industrial Process Heat Calculator,Process Heat Calculator for FoodBeverage in Africa (Asset level),Industrial,Process Heat,Calculator,Asset,FoodBeverage,Africa,P2,Low,2.0,2.5,0.5-2,Q1 2027,AI calculator agent that calculates and quantifies process heat in the industrial sector for FoodBeverage in Africa at the asset level to reduce emissions and operating cost.
