import_id,cn_code,description,quantity_tonnes,country_of_origin,supplier_id,installation_id,date,eori_number,unit_price_eur,total_value_eur,production_route,port_of_entry
IMP-2026-0030,7208 51 00,Hot-rolled flat steel coil >=600mm,400.00,TR,SUPP-TR-001,INST-TR-001-A,2026-03-01,DE327891234567,624.00,249600.00,bf_bof,Hamburg
IMP-2026-0031,7601 20 00,Unwrought aluminium alloys,100.00,CN,SUPP-CN-001,INST-CN-001-A,2026-03-02,DE327891234567,2480.00,248000.00,primary_smelting,Rotterdam
IMP-2026-0032,2523 10 00,Cement clinkers,300.00,IN,SUPP-IN-001,INST-IN-001-A,2026-03-03,DE327891234567,52.00,15600.00,clinker_kiln,Hamburg
IMP-2026-0033,7210 61 00,Flat-rolled steel Zn-plated electrolytic,240.00,TR,SUPP-TR-001,INST-TR-001-A,2026-03-05,DE327891234567,800.00,192000.00,bf_bof,Hamburg
IMP-2026-0034,7208 39 00,Hot-rolled flat steel coil <3mm,290.00,TR,SUPP-TR-001,INST-TR-001-B,2026-03-06,DE327891234567,612.00,177480.00,eaf,Hamburg
IMP-2026-0035,7606 12 00,Aluminium alloy plates/sheets >0.2mm,75.00,CN,SUPP-CN-001,INST-CN-001-A,2026-03-08,DE327891234567,3120.00,234000.00,primary_smelting,Rotterdam
IMP-2026-0036,7213 10 00,Hot-rolled steel bars in coils,340.00,TR,SUPP-TR-001,INST-TR-001-B,2026-03-10,DE327891234567,582.00,197880.00,eaf,Hamburg
IMP-2026-0037,7208 51 00,Hot-rolled flat steel coil >=600mm,480.00,TR,SUPP-TR-001,INST-TR-001-A,2026-03-12,DE327891234567,615.00,295200.00,bf_bof,Hamburg
IMP-2026-0038,2523 29 00,Portland cement,220.00,IN,SUPP-IN-001,INST-IN-001-A,2026-03-13,DE327891234567,86.00,18920.00,clinker_kiln,Hamburg
IMP-2026-0039,7601 10 00,Unwrought aluminium not alloyed,130.00,CN,SUPP-CN-001,INST-CN-001-A,2026-03-15,DE327891234567,2360.00,306800.00,primary_smelting,Rotterdam
IMP-2026-0040,7304 31 00,Seamless steel tubes cold-drawn,160.00,TR,SUPP-TR-001,INST-TR-001-A,2026-03-16,DE327891234567,1210.00,193600.00,bf_bof,Hamburg
IMP-2026-0041,7216 33 00,H-sections steel hot-rolled,300.00,TR,SUPP-TR-001,INST-TR-001-B,2026-03-18,DE327891234567,588.00,176400.00,eaf,Hamburg
IMP-2026-0042,7608 20 00,Aluminium alloy tubes and pipes,40.00,CN,SUPP-CN-001,INST-CN-001-A,2026-03-19,DE327891234567,3800.00,152000.00,primary_smelting,Rotterdam
IMP-2026-0043,7208 51 00,Hot-rolled flat steel coil >=600mm,440.00,TR,SUPP-TR-001,INST-TR-001-A,2026-03-20,DE327891234567,618.00,271920.00,bf_bof,Hamburg
IMP-2026-0044,7209 17 00,Cold-rolled flat steel >=600mm,230.00,TR,SUPP-TR-001,INST-TR-001-A,2026-03-22,DE327891234567,752.00,172960.00,bf_bof,Hamburg
IMP-2026-0045,7210 49 00,Flat-rolled steel clad/plated/coated,270.00,TR,SUPP-TR-001,INST-TR-001-A,2026-03-24,DE327891234567,782.00,211140.00,bf_bof,Hamburg
IMP-2026-0046,7601 20 00,Unwrought aluminium alloys,90.00,CN,SUPP-CN-001,INST-CN-001-A,2026-03-25,DE327891234567,2460.00,221400.00,primary_smelting,Rotterdam
IMP-2026-0047,7208 39 00,Hot-rolled flat steel coil <3mm,310.00,TR,SUPP-TR-001,INST-TR-001-B,2026-03-26,DE327891234567,605.00,187550.00,eaf,Hamburg
IMP-2026-0048,2523 21 00,White Portland cement,80.00,IN,SUPP-IN-001,INST-IN-001-A,2026-03-27,DE327891234567,95.00,7600.00,clinker_kiln,Hamburg
IMP-2026-0049,7213 10 00,Hot-rolled steel bars in coils,360.00,TR,SUPP-TR-001,INST-TR-001-B,2026-03-28,DE327891234567,578.00,208080.00,eaf,Hamburg
IMP-2026-0050,7208 51 00,Hot-rolled flat steel coil >=600mm,430.00,TR,SUPP-TR-001,INST-TR-001-A,2026-03-30,DE327891234567,621.00,267030.00,bf_bof,Hamburg
IMP-2026-0051,7606 12 00,Aluminium alloy plates/sheets >0.2mm,65.00,CN,SUPP-CN-001,INST-CN-001-A,2026-01-07,DE327891234567,3080.00,200200.00,primary_smelting,Rotterdam
IMP-2026-0052,7208 51 00,Hot-rolled flat steel coil >=600mm,470.00,TR,SUPP-TR-001,INST-TR-001-A,2026-01-09,DE327891234567,617.00,289990.00,bf_bof,Hamburg
IMP-2026-0053,7214 20 00,Steel bars/rods with deformation,250.00,TR,SUPP-TR-001,INST-TR-001-B,2026-01-11,DE327891234567,595.00,148750.00,eaf,Hamburg
IMP-2026-0054,7601 10 00,Unwrought aluminium not alloyed,115.00,CN,SUPP-CN-001,INST-CN-001-A,2026-01-16,DE327891234567,2340.00,269100.00,primary_smelting,Rotterdam
IMP-2026-0055,7209 17 00,Cold-rolled flat steel >=600mm,210.00,TR,SUPP-TR-001,INST-TR-001-A,2026-01-19,DE327891234567,745.00,156450.00,bf_bof,Hamburg
IMP-2026-0056,2523 29 00,Portland cement,190.00,IN,SUPP-IN-001,INST-IN-001-A,2026-01-21,DE327891234567,84.00,15960.00,clinker_kiln,Hamburg
IMP-2026-0057,7208 39 00,Hot-rolled flat steel coil <3mm,340.00,TR,SUPP-TR-001,INST-TR-001-B,2026-01-23,DE327891234567,607.00,206380.00,eaf,Hamburg
IMP-2026-0058,7604 21 00,Aluminium alloy hollow profiles,55.00,CN,SUPP-CN-001,INST-CN-001-A,2026-01-25,DE327891234567,3480.00,191400.00,primary_smelting,Rotterdam
IMP-2026-0059,7210 49 00,Flat-rolled steel clad/plated/coated,290.00,TR,SUPP-TR-001,INST-TR-001-A,2026-01-27,DE327891234567,778.00,225620.00,bf_bof,Hamburg
IMP-2026-0060,7326 90 00,Other articles of iron or steel,35.00,TR,SUPP-TR-001,INST-TR-001-A,2026-01-29,DE327891234567,2200.00,77000.00,bf_bof,Hamburg
IMP-2026-0061,7208 51 00,Hot-rolled flat steel coil >=600mm,410.00,TR,SUPP-TR-001,INST-TR-001-A,2026-02-02,DE327891234567,616.00,252560.00,bf_bof,Hamburg
IMP-2026-0062,7601 20 00,Unwrought aluminium alloys,105.00,CN,SUPP-CN-001,INST-CN-001-A,2026-02-04,DE327891234567,2440.00,256200.00,primary_smelting,Rotterdam
IMP-2026-0063,7213 10 00,Hot-rolled steel bars in coils,370.00,TR,SUPP-TR-001,INST-TR-001-B,2026-02-07,DE327891234567,577.00,213490.00,eaf,Hamburg
IMP-2026-0064,2523 10 00,Cement clinkers,280.00,IN,SUPP-IN-001,INST-IN-001-A,2026-02-09,DE327891234567,53.00,14840.00,clinker_kiln,Hamburg
IMP-2026-0065,7209 17 00,Cold-rolled flat steel >=600mm,250.00,TR,SUPP-TR-001,INST-TR-001-A,2026-02-11,DE327891234567,750.00,187500.00,bf_bof,Hamburg
IMP-2026-0066,7606 12 00,Aluminium alloy plates/sheets >0.2mm,80.00,CN,SUPP-CN-001,INST-CN-001-A,2026-02-13,DE327891234567,3140.00,251200.00,primary_smelting,Rotterdam
IMP-2026-0067,7208 51 00,Hot-rolled flat steel coil >=600mm,490.00,TR,SUPP-TR-001,INST-TR-001-A,2026-02-16,DE327891234567,619.00,303310.00,bf_bof,Hamburg
IMP-2026-0068,7216 33 00,H-sections steel hot-rolled,260.00,TR,SUPP-TR-001,INST-TR-001-B,2026-02-18,DE327891234567,592.00,153920.00,eaf,Hamburg
IMP-2026-0069,7601 10 00,Unwrought aluminium not alloyed,120.00,CN,SUPP-CN-001,INST-CN-001-A,2026-02-21,DE327891234567,2355.00,282600.00,primary_smelting,Rotterdam
IMP-2026-0070,7208 39 00,Hot-rolled flat steel coil <3mm,330.00,TR,SUPP-TR-001,INST-TR-001-B,2026-02-23,DE327891234567,606.00,199980.00,eaf,Hamburg
IMP-2026-0071,7304 31 00,Seamless steel tubes cold-drawn,140.00,TR,SUPP-TR-001,INST-TR-001-A,2026-02-25,DE327891234567,1215.00,170100.00,bf_bof,Hamburg
IMP-2026-0072,2523 29 00,Portland cement,210.00,IN,SUPP-IN-001,INST-IN-001-A,2026-02-27,DE327891234567,86.00,18060.00,clinker_kiln,Hamburg
IMP-2026-0073,7210 61 00,Flat-rolled steel Zn-plated electrolytic,220.00,TR,SUPP-TR-001,INST-TR-001-A,2026-03-02,DE327891234567,802.00,176440.00,bf_bof,Hamburg
IMP-2026-0074,7604 29 00,Other aluminium alloy bars and rods,45.00,CN,SUPP-CN-001,INST-CN-001-A,2026-03-04,DE327891234567,3420.00,153900.00,primary_smelting,Rotterdam
IMP-2026-0075,7208 51 00,Hot-rolled flat steel coil >=600mm,455.00,TR,SUPP-TR-001,INST-TR-001-A,2026-03-07,DE327891234567,620.00,282100.00,bf_bof,Hamburg
IMP-2026-0076,7213 10 00,Hot-rolled steel bars in coils,345.00,TR,SUPP-TR-001,INST-TR-001-B,2026-03-09,DE327891234567,580.00,200100.00,eaf,Hamburg
IMP-2026-0077,7606 12 00,Aluminium alloy plates/sheets >0.2mm,72.00,CN,SUPP-CN-001,INST-CN-001-A,2026-03-11,DE327891234567,3130.00,225360.00,primary_smelting,Rotterdam
IMP-2026-0078,7209 17 00,Cold-rolled flat steel >=600mm,235.00,TR,SUPP-TR-001,INST-TR-001-A,2026-03-14,DE327891234567,748.00,175780.00,bf_bof,Hamburg
IMP-2026-0079,2523 10 00,Cement clinkers,260.00,IN,SUPP-IN-001,INST-IN-001-A,2026-03-15,DE327891234567,54.00,14040.00,clinker_kiln,Hamburg
IMP-2026-0080,7208 51 00,Hot-rolled flat steel coil >=600mm,435.00,TR,SUPP-TR-001,INST-TR-001-A,2026-03-17,DE327891234567,617.00,268395.00,bf_bof,Hamburg
IMP-2026-0081,7601 20 00,Unwrought aluminium alloys,88.00,CN,SUPP-CN-001,INST-CN-001-A,2026-03-19,DE327891234567,2470.00,217360.00,primary_smelting,Rotterdam
IMP-2026-0082,7208 39 00,Hot-rolled flat steel coil <3mm,315.00,TR,SUPP-TR-001,INST-TR-001-B,2026-03-21,DE327891234567,609.00,191835.00,eaf,Hamburg
IMP-2026-0083,7210 49 00,Flat-rolled steel clad/plated/coated,255.00,TR,SUPP-TR-001,INST-TR-001-A,2026-03-23,DE327891234567,780.00,198900.00,bf_bof,Hamburg
IMP-2026-0084,7318 15 00,Steel screws and bolts,42.00,TR,SUPP-TR-001,INST-TR-001-A,2026-03-25,DE327891234567,1820.00,76440.00,bf_bof,Hamburg
IMP-2026-0085,7608 20 00,Aluminium alloy tubes and pipes,38.00,CN,SUPP-CN-001,INST-CN-001-A,2026-03-27,DE327891234567,3850.00,146300.00,primary_smelting,Rotterdam
IMP-2026-0086,7208 51 00,Hot-rolled flat steel coil >=600mm,425.00,TR,SUPP-TR-001,INST-TR-001-A,2026-03-29,DE327891234567,622.00,264350.00,bf_bof,Hamburg
IMP-2026-0087,2523 30 00,Aluminous cement,50.00,IN,SUPP-IN-001,INST-IN-001-A,2026-03-30,DE327891234567,120.00,6000.00,clinker_kiln,Hamburg
IMP-2026-0088,7213 10 00,Hot-rolled steel bars in coils,355.00,TR,SUPP-TR-001,INST-TR-001-B,2026-03-31,DE327891234567,579.00,205545.00,eaf,Hamburg
IMP-2026-0089,7601 10 00,Unwrought aluminium not alloyed,118.00,CN,SUPP-CN-001,INST-CN-001-A,2026-01-06,DE327891234567,2345.00,276710.00,primary_smelting,Rotterdam
IMP-2026-0090,7208 51 00,Hot-rolled flat steel coil >=600mm,465.00,TR,SUPP-TR-001,INST-TR-001-A,2026-01-13,DE327891234567,616.00,286440.00,bf_bof,Hamburg
IMP-2026-0091,7306 30 00,Welded steel tubes circular section,170.00,TR,SUPP-TR-001,INST-TR-001-B,2026-01-17,DE327891234567,845.00,143650.00,eaf,Hamburg
IMP-2026-0092,7604 21 00,Aluminium alloy hollow profiles,52.00,CN,SUPP-CN-001,INST-CN-001-A,2026-01-20,DE327891234567,3520.00,183040.00,primary_smelting,Rotterdam
IMP-2026-0093,7208 39 00,Hot-rolled flat steel coil <3mm,295.00,TR,SUPP-TR-001,INST-TR-001-B,2026-01-24,DE327891234567,611.00,180245.00,eaf,Hamburg
IMP-2026-0094,2523 29 00,Portland cement,175.00,IN,SUPP-IN-001,INST-IN-001-A,2026-01-28,DE327891234567,85.00,14875.00,clinker_kiln,Hamburg
IMP-2026-0095,7210 49 00,Flat-rolled steel clad/plated/coated,275.00,TR,SUPP-TR-001,INST-TR-001-A,2026-02-03,DE327891234567,783.00,215325.00,bf_bof,Hamburg
IMP-2026-0096,7601 20 00,Unwrought aluminium alloys,92.00,CN,SUPP-CN-001,INST-CN-001-A,2026-02-06,DE327891234567,2455.00,225860.00,primary_smelting,Rotterdam
IMP-2026-0097,7208 51 00,Hot-rolled flat steel coil >=600mm,445.00,TR,SUPP-TR-001,INST-TR-001-A,2026-02-10,DE327891234567,621.00,276345.00,bf_bof,Hamburg
IMP-2026-0098,7214 20 00,Steel bars/rods with deformation,265.00,TR,SUPP-TR-001,INST-TR-001-B,2026-02-14,DE327891234567,593.00,157145.00,eaf,Hamburg
IMP-2026-0099,7606 12 00,Aluminium alloy plates/sheets >0.2mm,68.00,CN,SUPP-CN-001,INST-CN-001-A,2026-02-18,DE327891234567,3110.00,211480.00,primary_smelting,Rotterdam
IMP-2026-0100,7213 10 00,Hot-rolled steel bars in coils,365.00,TR,SUPP-TR-001,INST-TR-001-B,2026-02-22,DE327891234567,576.00,210240.00,eaf,Hamburg
IMP-2026-0101,2523 10 00,Cement clinkers,290.00,IN,SUPP-IN-001,INST-IN-001-A,2026-02-25,DE327891234567,53.00,15370.00,clinker_kiln,Hamburg
IMP-2026-0102,7208 51 00,Hot-rolled flat steel coil >=600mm,475.00,TR,SUPP-TR-001,INST-TR-001-A,2026-03-01,DE327891234567,618.00,293550.00,bf_bof,Hamburg
IMP-2026-0103,7601 10 00,Unwrought aluminium not alloyed,122.00,CN,SUPP-CN-001,INST-CN-001-A,2026-03-05,DE327891234567,2350.00,286700.00,primary_smelting,Rotterdam
IMP-2026-0104,7209 17 00,Cold-rolled flat steel >=600mm,225.00,TR,SUPP-TR-001,INST-TR-001-A,2026-03-08,DE327891234567,747.00,168075.00,bf_bof,Hamburg
IMP-2026-0105,7208 39 00,Hot-rolled flat steel coil <3mm,305.00,TR,SUPP-TR-001,INST-TR-001-B,2026-03-12,DE327891234567,608.00,185440.00,eaf,Hamburg
IMP-2026-0106,7604 29 00,Other aluminium alloy bars and rods,48.00,CN,SUPP-CN-001,INST-CN-001-A,2026-03-15,DE327891234567,3410.00,163680.00,primary_smelting,Rotterdam
IMP-2026-0107,7210 61 00,Flat-rolled steel Zn-plated electrolytic,235.00,TR,SUPP-TR-001,INST-TR-001-A,2026-03-18,DE327891234567,798.00,187530.00,bf_bof,Hamburg
IMP-2026-0108,2523 29 00,Portland cement,195.00,IN,SUPP-IN-001,INST-IN-001-A,2026-03-21,DE327891234567,85.00,16575.00,clinker_kiln,Hamburg
IMP-2026-0109,7216 33 00,H-sections steel hot-rolled,285.00,TR,SUPP-TR-001,INST-TR-001-B,2026-03-24,DE327891234567,590.00,168150.00,eaf,Hamburg
IMP-2026-0110,7601 20 00,Unwrought aluminium alloys,95.00,CN,SUPP-CN-001,INST-CN-001-A,2026-03-27,DE327891234567,2465.00,234175.00,primary_smelting,Rotterdam
IMP-2026-0111,7208 51 00,Hot-rolled flat steel coil >=600mm,415.00,TR,SUPP-TR-001,INST-TR-001-A,2026-01-03,DE327891234567,623.00,258545.00,bf_bof,Hamburg
IMP-2026-0112,7304 31 00,Seamless steel tubes cold-drawn,145.00,TR,SUPP-TR-001,INST-TR-001-A,2026-01-15,DE327891234567,1205.00,174725.00,bf_bof,Hamburg
IMP-2026-0113,7606 12 00,Aluminium alloy plates/sheets >0.2mm,78.00,CN,SUPP-CN-001,INST-CN-001-A,2026-01-22,DE327891234567,3090.00,241020.00,primary_smelting,Rotterdam
IMP-2026-0114,7208 39 00,Hot-rolled flat steel coil <3mm,325.00,TR,SUPP-TR-001,INST-TR-001-B,2026-01-29,DE327891234567,604.00,196300.00,eaf,Hamburg
IMP-2026-0115,2523 10 00,Cement clinkers,270.00,IN,SUPP-IN-001,INST-IN-001-A,2026-02-05,DE327891234567,54.00,14580.00,clinker_kiln,Hamburg
IMP-2026-0116,7601 10 00,Unwrought aluminium not alloyed,108.00,CN,SUPP-CN-001,INST-CN-001-A,2026-02-12,DE327891234567,2365.00,255420.00,primary_smelting,Rotterdam
IMP-2026-0117,7208 51 00,Hot-rolled flat steel coil >=600mm,485.00,TR,SUPP-TR-001,INST-TR-001-A,2026-02-19,DE327891234567,614.00,297790.00,bf_bof,Hamburg
IMP-2026-0118,7213 10 00,Hot-rolled steel bars in coils,335.00,TR,SUPP-TR-001,INST-TR-001-B,2026-02-26,DE327891234567,581.00,194635.00,eaf,Hamburg
IMP-2026-0119,7604 21 00,Aluminium alloy hollow profiles,58.00,CN,SUPP-CN-001,INST-CN-001-A,2026-03-05,DE327891234567,3490.00,202420.00,primary_smelting,Rotterdam
IMP-2026-0120,7210 49 00,Flat-rolled steel clad/plated/coated,265.00,TR,SUPP-TR-001,INST-TR-001-A,2026-03-12,DE327891234567,781.00,206965.00,bf_bof,Hamburg
IMP-2026-0121,2523 29 00,Portland cement,185.00,IN,SUPP-IN-001,INST-IN-001-A,2026-03-19,DE327891234567,87.00,16095.00,clinker_kiln,Hamburg
IMP-2026-0122,7208 51 00,Hot-rolled flat steel coil >=600mm,450.00,TR,SUPP-TR-001,INST-TR-001-A,2026-03-26,DE327891234567,620.00,279000.00,bf_bof,Hamburg
IMP-2026-0123,7601 20 00,Unwrought aluminium alloys,98.00,CN,SUPP-CN-001,INST-CN-001-A,2026-01-04,DE327891234567,2450.00,240100.00,primary_smelting,Rotterdam
IMP-2026-0124,7306 30 00,Welded steel tubes circular section,175.00,TR,SUPP-TR-001,INST-TR-001-B,2026-01-18,DE327891234567,848.00,148400.00,eaf,Hamburg
IMP-2026-0125,7208 39 00,Hot-rolled flat steel coil <3mm,308.00,TR,SUPP-TR-001,INST-TR-001-B,2026-02-01,DE327891234567,610.00,187880.00,eaf,Hamburg
IMP-2026-0126,7606 12 00,Aluminium alloy plates/sheets >0.2mm,74.00,CN,SUPP-CN-001,INST-CN-001-A,2026-02-15,DE327891234567,3100.00,229400.00,primary_smelting,Rotterdam
IMP-2026-0127,7209 17 00,Cold-rolled flat steel >=600mm,215.00,TR,SUPP-TR-001,INST-TR-001-A,2026-03-01,DE327891234567,751.00,161465.00,bf_bof,Hamburg
IMP-2026-0128,2523 10 00,Cement clinkers,240.00,IN,SUPP-IN-001,INST-IN-001-A,2026-03-15,DE327891234567,55.00,13200.00,clinker_kiln,Hamburg
IMP-2026-0129,7326 90 00,Other articles of iron or steel,38.00,TR,SUPP-TR-001,INST-TR-001-A,2026-01-12,DE327891234567,2180.00,82840.00,bf_bof,Hamburg
IMP-2026-0130,7601 10 00,Unwrought aluminium not alloyed,112.00,CN,SUPP-CN-001,INST-CN-001-A,2026-01-26,DE327891234567,2358.00,264096.00,primary_smelting,Rotterdam
IMP-2026-0131,7208 51 00,Hot-rolled flat steel coil >=600mm,440.00,TR,SUPP-TR-001,INST-TR-001-A,2026-02-09,DE327891234567,617.00,271480.00,bf_bof,Hamburg
IMP-2026-0132,7213 10 00,Hot-rolled steel bars in coils,350.00,TR,SUPP-TR-001,INST-TR-001-B,2026-02-22,DE327891234567,582.00,203700.00,eaf,Hamburg
IMP-2026-0133,7608 20 00,Aluminium alloy tubes and pipes,42.00,CN,SUPP-CN-001,INST-CN-001-A,2026-03-07,DE327891234567,3820.00,160440.00,primary_smelting,Rotterdam
IMP-2026-0134,7210 61 00,Flat-rolled steel Zn-plated electrolytic,230.00,TR,SUPP-TR-001,INST-TR-001-A,2026-03-20,DE327891234567,800.00,184000.00,bf_bof,Hamburg
IMP-2026-0135,2523 90 00,Other hydraulic cements,100.00,IN,SUPP-IN-001,INST-IN-001-A,2026-01-30,DE327891234567,82.00,8200.00,clinker_kiln,Hamburg
IMP-2026-0136,7601 20 00,Unwrought aluminium alloys,102.00,CN,SUPP-CN-001,INST-CN-001-A,2026-02-13,DE327891234567,2468.00,251736.00,primary_smelting,Rotterdam
IMP-2026-0137,7208 51 00,Hot-rolled flat steel coil >=600mm,458.00,TR,SUPP-TR-001,INST-TR-001-A,2026-02-27,DE327891234567,615.00,281670.00,bf_bof,Hamburg
IMP-2026-0138,7214 20 00,Steel bars/rods with deformation,255.00,TR,SUPP-TR-001,INST-TR-001-B,2026-03-13,DE327891234567,594.00,151470.00,eaf,Hamburg
IMP-2026-0139,7604 21 00,Aluminium alloy hollow profiles,56.00,CN,SUPP-CN-001,INST-CN-001-A,2026-03-26,DE327891234567,3510.00,196560.00,primary_smelting,Rotterdam
IMP-2026-0140,7208 39 00,Hot-rolled flat steel coil <3mm,298.00,TR,SUPP-TR-001,INST-TR-001-B,2026-01-07,DE327891234567,608.00,181184.00,eaf,Hamburg
IMP-2026-0141,2523 29 00,Portland cement,205.00,IN,SUPP-IN-001,INST-IN-001-A,2026-02-14,DE327891234567,86.00,17630.00,clinker_kiln,Hamburg
IMP-2026-0142,7601 10 00,Unwrought aluminium not alloyed,116.00,CN,SUPP-CN-001,INST-CN-001-A,2026-03-01,DE327891234567,2348.00,272368.00,primary_smelting,Rotterdam
IMP-2026-0143,7208 51 00,Hot-rolled flat steel coil >=600mm,462.00,TR,SUPP-TR-001,INST-TR-001-A,2026-03-14,DE327891234567,619.00,285978.00,bf_bof,Hamburg
IMP-2026-0144,7318 15 00,Steel screws and bolts,40.00,TR,SUPP-TR-001,INST-TR-001-A,2026-01-20,DE327891234567,1810.00,72400.00,bf_bof,Hamburg
IMP-2026-0145,7606 12 00,Aluminium alloy plates/sheets >0.2mm,76.00,CN,SUPP-CN-001,INST-CN-001-A,2026-02-07,DE327891234567,3095.00,235220.00,primary_smelting,Rotterdam
