import_id,entity_id,entity_name,import_date,cn_code,goods_description,goods_category,country_of_origin,supplier_id,supplier_name,installation_id,production_route,quantity_tonnes,value_eur,emission_intensity_tco2e_per_t,total_emissions_tco2e,calculation_method,carbon_price_paid_eur_per_t,customs_declaration_ref,bill_of_lading_ref
IMP-2026-0012,ALPINE-METAL-001,AlpineMetal AG,2026-01-20,2523 10 00,Cement clinkers,cement,TR,SUPP-TR-002,Cimsa Cimento,INST-TR-003-CK,clinker_kiln,600.0,72000.00,0.88,528.00,actual,0.00,CUS-AT-2026-000004,BL-VIE-2026-0004
IMP-2026-0013,EURO-GROUP-001,EuroSteel Group GmbH,2026-01-21,7208,Hot-rolled flat steel >=600mm,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-001-BF,bf_bof,480.0,360000.00,1.95,936.00,actual,0.00,CUS-DE-2026-000009,BL-HAM-2026-0009
IMP-2026-0014,NORD-STAHL-001,NordStahl Handel GmbH,2026-01-22,7219,Stainless steel flat >=600mm,iron_steel,CN,SUPP-CN-001,Shanghai Metals Corp,INST-CN-002-EAF,eaf,85.0,170000.00,0.65,55.25,actual,8.50,CUS-DE-2026-000010,BL-HAM-2026-0010
IMP-2026-0015,EURO-GROUP-001,EuroSteel Group GmbH,2026-01-24,7207,Semi-finished products steel,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-001-BF,bf_bof,650.0,422500.00,1.85,1202.50,actual,0.00,CUS-DE-2026-000011,BL-HAM-2026-0011
IMP-2026-0016,ALPINE-METAL-001,AlpineMetal AG,2026-01-25,7606,Aluminium plates sheets strip,aluminium,NO,SUPP-NO-001,Nordic Aluminium AS,INST-NO-001-SM,primary_smelting,120.0,312000.00,2.80,336.00,actual,85.00,CUS-AT-2026-000005,BL-VIE-2026-0005
IMP-2026-0017,NORD-STAHL-001,NordStahl Handel GmbH,2026-01-27,7208,Hot-rolled flat steel >=600mm,iron_steel,IN,SUPP-IN-002,Tata Steel BSL,INST-IN-002-BF,bf_bof,400.0,300000.00,2.50,1000.00,actual,0.00,CUS-DE-2026-000012,BL-HAM-2026-0012
IMP-2026-0018,EURO-GROUP-001,EuroSteel Group GmbH,2026-01-28,7304,Seamless tubes and pipes,iron_steel,CN,SUPP-CN-001,Shanghai Metals Corp,INST-CN-001-BF,bf_bof,200.0,260000.00,2.30,460.00,actual,8.50,CUS-DE-2026-000013,BL-HAM-2026-0013
IMP-2026-0019,ALPINE-METAL-001,AlpineMetal AG,2026-01-29,2523 29 00,Other Portland cement,cement,IN,SUPP-IN-001,Rajasthan Cement Ltd,INST-IN-001-CK,clinker_kiln,750.0,112500.00,0.95,712.50,actual,0.00,CUS-AT-2026-000006,BL-VIE-2026-0006
IMP-2026-0020,EURO-GROUP-001,EuroSteel Group GmbH,2026-01-30,7210,Coated flat steel >=600mm,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-001-BF,bf_bof,310.0,279000.00,2.05,635.50,actual,0.00,CUS-DE-2026-000014,BL-HAM-2026-0014
IMP-2026-0021,NORD-STAHL-001,NordStahl Handel GmbH,2026-02-01,7213,Hot-rolled bars and rods,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-002-EAF,eaf,390.0,273000.00,0.52,202.80,actual,0.00,CUS-DE-2026-000015,BL-HAM-2026-0015
IMP-2026-0022,EURO-GROUP-001,EuroSteel Group GmbH,2026-02-03,7208,Hot-rolled flat steel >=600mm,iron_steel,EG,SUPP-EG-001,Ezz Steel SAE,INST-EG-001-EAF,eaf,500.0,350000.00,0.60,300.00,actual,0.00,CUS-DE-2026-000016,BL-HAM-2026-0016
IMP-2026-0023,ALPINE-METAL-001,AlpineMetal AG,2026-02-04,7601 20 80,Unwrought aluminium alloy,aluminium,CN,SUPP-CN-001,Shanghai Metals Corp,INST-CN-003-SM,primary_smelting,110.0,242000.00,12.50,1375.00,actual,8.50,CUS-AT-2026-000007,BL-VIE-2026-0007
IMP-2026-0024,EURO-GROUP-001,EuroSteel Group GmbH,2026-02-06,7209,Cold-rolled flat steel >=600mm,iron_steel,CN,SUPP-CN-001,Shanghai Metals Corp,INST-CN-001-BF,bf_bof,280.0,266000.00,2.15,602.00,actual,8.50,CUS-DE-2026-000017,BL-HAM-2026-0017
IMP-2026-0025,NORD-STAHL-001,NordStahl Handel GmbH,2026-02-07,7217,Wire of iron or non-alloy steel,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-002-EAF,eaf,250.0,200000.00,0.55,137.50,actual,0.00,CUS-DE-2026-000018,BL-HAM-2026-0018
IMP-2026-0026,ALPINE-METAL-001,AlpineMetal AG,2026-02-08,2523 10 00,Cement clinkers,cement,TR,SUPP-TR-002,Cimsa Cimento,INST-TR-003-CK,clinker_kiln,700.0,84000.00,0.88,616.00,actual,0.00,CUS-AT-2026-000008,BL-VIE-2026-0008
IMP-2026-0027,EURO-GROUP-001,EuroSteel Group GmbH,2026-02-10,7225,Other alloy steel flat >=600mm,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-001-BF,bf_bof,220.0,242000.00,2.20,484.00,actual,0.00,CUS-DE-2026-000019,BL-HAM-2026-0019
IMP-2026-0028,NORD-STAHL-001,NordStahl Handel GmbH,2026-02-12,7308,Structures and parts steel,iron_steel,IN,SUPP-IN-002,Tata Steel BSL,INST-IN-002-BF,bf_bof,350.0,315000.00,2.50,875.00,actual,0.00,CUS-DE-2026-000020,BL-HAM-2026-0020
IMP-2026-0029,ALPINE-METAL-001,AlpineMetal AG,2026-02-13,7607,Aluminium foil <=0.2mm,aluminium,CN,SUPP-CN-001,Shanghai Metals Corp,INST-CN-003-SM,primary_smelting,45.0,135000.00,13.00,585.00,actual,8.50,CUS-AT-2026-000009,BL-VIE-2026-0009
IMP-2026-0030,EURO-GROUP-001,EuroSteel Group GmbH,2026-02-14,7208,Hot-rolled flat steel >=600mm,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-001-BF,bf_bof,550.0,412500.00,1.95,1072.50,actual,0.00,CUS-DE-2026-000021,BL-HAM-2026-0021
IMP-2026-0031,EURO-GROUP-001,EuroSteel Group GmbH,2026-02-17,7207,Semi-finished products steel,iron_steel,EG,SUPP-EG-001,Ezz Steel SAE,INST-EG-001-EAF,eaf,400.0,260000.00,0.60,240.00,actual,0.00,CUS-DE-2026-000022,BL-HAM-2026-0022
IMP-2026-0032,NORD-STAHL-001,NordStahl Handel GmbH,2026-02-18,7214,Forged bars and rods,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-002-EAF,eaf,320.0,224000.00,0.52,166.40,actual,0.00,CUS-DE-2026-000023,BL-HAM-2026-0023
IMP-2026-0033,ALPINE-METAL-001,AlpineMetal AG,2026-02-19,7604 29 90,Aluminium alloy profiles,aluminium,NO,SUPP-NO-001,Nordic Aluminium AS,INST-NO-001-SM,primary_smelting,85.0,178500.00,2.80,238.00,actual,85.00,CUS-AT-2026-000010,BL-VIE-2026-0010
IMP-2026-0034,EURO-GROUP-001,EuroSteel Group GmbH,2026-02-21,7210,Coated flat steel >=600mm,iron_steel,CN,SUPP-CN-001,Shanghai Metals Corp,INST-CN-001-BF,bf_bof,260.0,260000.00,2.25,585.00,actual,8.50,CUS-DE-2026-000024,BL-HAM-2026-0024
IMP-2026-0035,NORD-STAHL-001,NordStahl Handel GmbH,2026-02-24,7216,Angles shapes and sections,iron_steel,IN,SUPP-IN-002,Tata Steel BSL,INST-IN-002-BF,bf_bof,280.0,196000.00,2.50,700.00,actual,0.00,CUS-DE-2026-000025,BL-HAM-2026-0025
IMP-2026-0036,ALPINE-METAL-001,AlpineMetal AG,2026-02-25,2523 29 00,Other Portland cement,cement,IN,SUPP-IN-001,Rajasthan Cement Ltd,INST-IN-001-CK,clinker_kiln,650.0,97500.00,0.95,617.50,actual,0.00,CUS-AT-2026-000011,BL-VIE-2026-0011
IMP-2026-0037,EURO-GROUP-001,EuroSteel Group GmbH,2026-02-27,7208,Hot-rolled flat steel >=600mm,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-001-BF,bf_bof,500.0,375000.00,1.95,975.00,actual,0.00,CUS-DE-2026-000026,BL-HAM-2026-0026
IMP-2026-0038,EURO-GROUP-001,EuroSteel Group GmbH,2026-02-28,7306,Other welded tubes and pipes,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-001-BF,bf_bof,180.0,162000.00,2.10,378.00,actual,0.00,CUS-DE-2026-000027,BL-HAM-2026-0027
IMP-2026-0039,NORD-STAHL-001,NordStahl Handel GmbH,2026-03-01,7213,Hot-rolled bars and rods,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-002-EAF,eaf,410.0,287000.00,0.52,213.20,actual,0.00,CUS-DE-2026-000028,BL-HAM-2026-0028
IMP-2026-0040,ALPINE-METAL-001,AlpineMetal AG,2026-03-02,7601 10 00,Unwrought aluminium not alloyed,aluminium,NO,SUPP-NO-001,Nordic Aluminium AS,INST-NO-001-SM,primary_smelting,200.0,480000.00,2.50,500.00,actual,85.00,CUS-AT-2026-000012,BL-VIE-2026-0012
IMP-2026-0041,EURO-GROUP-001,EuroSteel Group GmbH,2026-03-03,7209,Cold-rolled flat steel >=600mm,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-001-BF,bf_bof,300.0,285000.00,2.05,615.00,actual,0.00,CUS-DE-2026-000029,BL-HAM-2026-0029
IMP-2026-0042,EURO-GROUP-001,EuroSteel Group GmbH,2026-03-04,7208,Hot-rolled flat steel >=600mm,iron_steel,CN,SUPP-CN-001,Shanghai Metals Corp,INST-CN-001-BF,bf_bof,380.0,304000.00,2.15,817.00,actual,8.50,CUS-DE-2026-000030,BL-HAM-2026-0030
IMP-2026-0043,NORD-STAHL-001,NordStahl Handel GmbH,2026-03-05,7219,Stainless steel flat >=600mm,iron_steel,CN,SUPP-CN-001,Shanghai Metals Corp,INST-CN-002-EAF,eaf,75.0,150000.00,0.65,48.75,actual,8.50,CUS-DE-2026-000031,BL-HAM-2026-0031
IMP-2026-0044,ALPINE-METAL-001,AlpineMetal AG,2026-03-06,2523 10 00,Cement clinkers,cement,TR,SUPP-TR-002,Cimsa Cimento,INST-TR-003-CK,clinker_kiln,550.0,66000.00,0.88,484.00,actual,0.00,CUS-AT-2026-000013,BL-VIE-2026-0013
IMP-2026-0045,EURO-GROUP-001,EuroSteel Group GmbH,2026-03-07,7207,Semi-finished products steel,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-001-BF,bf_bof,600.0,390000.00,1.85,1110.00,actual,0.00,CUS-DE-2026-000032,BL-HAM-2026-0032
IMP-2026-0046,NORD-STAHL-001,NordStahl Handel GmbH,2026-03-08,7208,Hot-rolled flat steel >=600mm,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-001-BF,bf_bof,430.0,322500.00,1.95,838.50,actual,0.00,CUS-DE-2026-000033,BL-HAM-2026-0033
IMP-2026-0047,ALPINE-METAL-001,AlpineMetal AG,2026-03-10,7606,Aluminium plates sheets strip,aluminium,CN,SUPP-CN-001,Shanghai Metals Corp,INST-CN-003-SM,primary_smelting,70.0,154000.00,12.80,896.00,actual,8.50,CUS-AT-2026-000014,BL-VIE-2026-0014
IMP-2026-0048,EURO-GROUP-001,EuroSteel Group GmbH,2026-03-11,7208,Hot-rolled flat steel >=600mm,iron_steel,EG,SUPP-EG-001,Ezz Steel SAE,INST-EG-001-EAF,eaf,480.0,336000.00,0.60,288.00,actual,0.00,CUS-DE-2026-000034,BL-HAM-2026-0034
IMP-2026-0049,NORD-STAHL-001,NordStahl Handel GmbH,2026-03-12,7214,Forged bars and rods,iron_steel,IN,SUPP-IN-002,Tata Steel BSL,INST-IN-002-BF,bf_bof,350.0,280000.00,2.50,875.00,actual,0.00,CUS-DE-2026-000035,BL-HAM-2026-0035
IMP-2026-0050,ALPINE-METAL-001,AlpineMetal AG,2026-03-13,2523 29 00,Other Portland cement,cement,IN,SUPP-IN-001,Rajasthan Cement Ltd,INST-IN-001-CK,clinker_kiln,700.0,105000.00,0.95,665.00,actual,0.00,CUS-AT-2026-000015,BL-VIE-2026-0015
IMP-2026-0051,EURO-GROUP-001,EuroSteel Group GmbH,2026-03-14,7210,Coated flat steel >=600mm,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-001-BF,bf_bof,290.0,261000.00,2.05,594.50,actual,0.00,CUS-DE-2026-000036,BL-HAM-2026-0036
IMP-2026-0052,EURO-GROUP-001,EuroSteel Group GmbH,2026-03-15,7304,Seamless tubes and pipes,iron_steel,CN,SUPP-CN-001,Shanghai Metals Corp,INST-CN-001-BF,bf_bof,180.0,234000.00,2.30,414.00,actual,8.50,CUS-DE-2026-000037,BL-HAM-2026-0037
IMP-2026-0053,NORD-STAHL-001,NordStahl Handel GmbH,2026-03-17,7213,Hot-rolled bars and rods,iron_steel,EG,SUPP-EG-001,Ezz Steel SAE,INST-EG-001-EAF,eaf,350.0,245000.00,0.60,210.00,actual,0.00,CUS-DE-2026-000038,BL-HAM-2026-0038
IMP-2026-0054,ALPINE-METAL-001,AlpineMetal AG,2026-03-18,7608 10 00,Aluminium tubes not alloyed,aluminium,NO,SUPP-NO-001,Nordic Aluminium AS,INST-NO-001-SM,primary_smelting,60.0,132000.00,2.80,168.00,actual,85.00,CUS-AT-2026-000016,BL-VIE-2026-0016
IMP-2026-0055,EURO-GROUP-001,EuroSteel Group GmbH,2026-03-19,7208,Hot-rolled flat steel >=600mm,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-001-BF,bf_bof,520.0,390000.00,1.95,1014.00,actual,0.00,CUS-DE-2026-000039,BL-HAM-2026-0039
IMP-2026-0056,NORD-STAHL-001,NordStahl Handel GmbH,2026-03-20,7216,Angles shapes and sections,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-002-EAF,eaf,340.0,238000.00,0.52,176.80,actual,0.00,CUS-DE-2026-000040,BL-HAM-2026-0040
IMP-2026-0057,ALPINE-METAL-001,AlpineMetal AG,2026-03-21,2523 21 00,White Portland cement,cement,TR,SUPP-TR-002,Cimsa Cimento,INST-TR-003-CK,clinker_kiln,450.0,81000.00,0.90,405.00,actual,0.00,CUS-AT-2026-000017,BL-VIE-2026-0017
IMP-2026-0058,EURO-GROUP-001,EuroSteel Group GmbH,2026-03-22,7225,Other alloy steel flat >=600mm,iron_steel,CN,SUPP-CN-001,Shanghai Metals Corp,INST-CN-001-BF,bf_bof,200.0,220000.00,2.50,500.00,actual,8.50,CUS-DE-2026-000041,BL-HAM-2026-0041
IMP-2026-0059,NORD-STAHL-001,NordStahl Handel GmbH,2026-03-24,7208,Hot-rolled flat steel >=600mm,iron_steel,IN,SUPP-IN-002,Tata Steel BSL,INST-IN-002-BF,bf_bof,420.0,315000.00,2.50,1050.00,actual,0.00,CUS-DE-2026-000042,BL-HAM-2026-0042
IMP-2026-0060,ALPINE-METAL-001,AlpineMetal AG,2026-03-25,7601 20 20,Unwrought aluminium alloy slabs,aluminium,NO,SUPP-NO-001,Nordic Aluminium AS,INST-NO-001-SM,primary_smelting,150.0,360000.00,2.50,375.00,actual,85.00,CUS-AT-2026-000018,BL-VIE-2026-0018
IMP-2026-0061,EURO-GROUP-001,EuroSteel Group GmbH,2026-03-26,7208,Hot-rolled flat steel >=600mm,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-001-BF,bf_bof,490.0,367500.00,1.95,955.50,actual,0.00,CUS-DE-2026-000043,BL-HAM-2026-0043
IMP-2026-0062,EURO-GROUP-001,EuroSteel Group GmbH,2026-03-27,7207,Semi-finished products steel,iron_steel,EG,SUPP-EG-001,Ezz Steel SAE,INST-EG-001-EAF,eaf,380.0,247000.00,0.60,228.00,actual,0.00,CUS-DE-2026-000044,BL-HAM-2026-0044
IMP-2026-0063,NORD-STAHL-001,NordStahl Handel GmbH,2026-03-28,7312,Stranded wire ropes cables,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-002-EAF,eaf,150.0,135000.00,0.58,87.00,actual,0.00,CUS-DE-2026-000045,BL-HAM-2026-0045
IMP-2026-0064,ALPINE-METAL-001,AlpineMetal AG,2026-03-29,7616 99 90,Other articles of aluminium,aluminium,CN,SUPP-CN-001,Shanghai Metals Corp,INST-CN-003-SM,primary_smelting,55.0,110000.00,13.00,715.00,actual,8.50,CUS-AT-2026-000019,BL-VIE-2026-0019
IMP-2026-0065,EURO-GROUP-001,EuroSteel Group GmbH,2026-03-30,7210,Coated flat steel >=600mm,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-001-BF,bf_bof,340.0,306000.00,2.05,697.00,actual,0.00,CUS-DE-2026-000046,BL-HAM-2026-0046
IMP-2026-0066,NORD-STAHL-001,NordStahl Handel GmbH,2026-03-31,7213,Hot-rolled bars and rods,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-002-EAF,eaf,400.0,280000.00,0.52,208.00,actual,0.00,CUS-DE-2026-000047,BL-HAM-2026-0047
IMP-2026-0067,ALPINE-METAL-001,AlpineMetal AG,2026-03-31,2523 29 00,Other Portland cement,cement,TR,SUPP-TR-002,Cimsa Cimento,INST-TR-003-CK,clinker_kiln,500.0,75000.00,0.88,440.00,actual,0.00,CUS-AT-2026-000020,BL-VIE-2026-0020
IMP-2026-0068,EURO-GROUP-001,EuroSteel Group GmbH,2026-04-02,7208,Hot-rolled flat steel >=600mm,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-001-BF,bf_bof,530.0,397500.00,1.95,1033.50,actual,0.00,CUS-DE-2026-000048,BL-HAM-2026-0048
IMP-2026-0069,EURO-GROUP-001,EuroSteel Group GmbH,2026-04-04,7209,Cold-rolled flat steel >=600mm,iron_steel,CN,SUPP-CN-001,Shanghai Metals Corp,INST-CN-001-BF,bf_bof,320.0,304000.00,2.15,688.00,actual,8.50,CUS-DE-2026-000049,BL-HAM-2026-0049
IMP-2026-0070,NORD-STAHL-001,NordStahl Handel GmbH,2026-04-05,7214,Forged bars and rods,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-002-EAF,eaf,360.0,252000.00,0.52,187.20,actual,0.00,CUS-DE-2026-000050,BL-HAM-2026-0050
IMP-2026-0071,ALPINE-METAL-001,AlpineMetal AG,2026-04-06,7601 10 00,Unwrought aluminium not alloyed,aluminium,NO,SUPP-NO-001,Nordic Aluminium AS,INST-NO-001-SM,primary_smelting,190.0,456000.00,2.50,475.00,actual,85.00,CUS-AT-2026-000021,BL-VIE-2026-0021
IMP-2026-0072,EURO-GROUP-001,EuroSteel Group GmbH,2026-04-08,7208,Hot-rolled flat steel >=600mm,iron_steel,EG,SUPP-EG-001,Ezz Steel SAE,INST-EG-001-EAF,eaf,460.0,322000.00,0.60,276.00,actual,0.00,CUS-DE-2026-000051,BL-HAM-2026-0051
IMP-2026-0073,NORD-STAHL-001,NordStahl Handel GmbH,2026-04-09,7308,Structures and parts steel,iron_steel,IN,SUPP-IN-002,Tata Steel BSL,INST-IN-002-BF,bf_bof,300.0,270000.00,2.50,750.00,actual,0.00,CUS-DE-2026-000052,BL-HAM-2026-0052
IMP-2026-0074,ALPINE-METAL-001,AlpineMetal AG,2026-04-10,2523 10 00,Cement clinkers,cement,IN,SUPP-IN-001,Rajasthan Cement Ltd,INST-IN-001-CK,clinker_kiln,680.0,95200.00,0.95,646.00,actual,0.00,CUS-AT-2026-000022,BL-VIE-2026-0022
IMP-2026-0075,EURO-GROUP-001,EuroSteel Group GmbH,2026-04-11,7207,Semi-finished products steel,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-001-BF,bf_bof,580.0,377000.00,1.85,1073.00,actual,0.00,CUS-DE-2026-000053,BL-HAM-2026-0053
IMP-2026-0076,EURO-GROUP-001,EuroSteel Group GmbH,2026-04-14,7210,Coated flat steel >=600mm,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-001-BF,bf_bof,300.0,270000.00,2.05,615.00,actual,0.00,CUS-DE-2026-000054,BL-HAM-2026-0054
IMP-2026-0077,NORD-STAHL-001,NordStahl Handel GmbH,2026-04-15,7216,Angles shapes and sections,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-002-EAF,eaf,370.0,259000.00,0.52,192.40,actual,0.00,CUS-DE-2026-000055,BL-HAM-2026-0055
IMP-2026-0078,ALPINE-METAL-001,AlpineMetal AG,2026-04-16,7604 10 90,Aluminium bars rods not alloyed,aluminium,CN,SUPP-CN-001,Shanghai Metals Corp,INST-CN-003-SM,primary_smelting,80.0,160000.00,12.50,1000.00,actual,8.50,CUS-AT-2026-000023,BL-VIE-2026-0023
IMP-2026-0079,EURO-GROUP-001,EuroSteel Group GmbH,2026-04-17,7208,Hot-rolled flat steel >=600mm,iron_steel,CN,SUPP-CN-001,Shanghai Metals Corp,INST-CN-001-BF,bf_bof,400.0,320000.00,2.15,860.00,actual,8.50,CUS-DE-2026-000056,BL-HAM-2026-0056
IMP-2026-0080,NORD-STAHL-001,NordStahl Handel GmbH,2026-04-18,7213,Hot-rolled bars and rods,iron_steel,IN,SUPP-IN-002,Tata Steel BSL,INST-IN-002-BF,bf_bof,380.0,285000.00,2.50,950.00,actual,0.00,CUS-DE-2026-000057,BL-HAM-2026-0057
IMP-2026-0081,ALPINE-METAL-001,AlpineMetal AG,2026-04-21,2523 29 00,Other Portland cement,cement,TR,SUPP-TR-002,Cimsa Cimento,INST-TR-003-CK,clinker_kiln,520.0,78000.00,0.88,457.60,actual,0.00,CUS-AT-2026-000024,BL-VIE-2026-0024
IMP-2026-0082,EURO-GROUP-001,EuroSteel Group GmbH,2026-04-22,7208,Hot-rolled flat steel >=600mm,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-001-BF,bf_bof,510.0,382500.00,1.95,994.50,actual,0.00,CUS-DE-2026-000058,BL-HAM-2026-0058
IMP-2026-0083,EURO-GROUP-001,EuroSteel Group GmbH,2026-04-24,7304,Seamless tubes and pipes,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-001-BF,bf_bof,200.0,260000.00,2.10,420.00,actual,0.00,CUS-DE-2026-000059,BL-HAM-2026-0059
IMP-2026-0084,NORD-STAHL-001,NordStahl Handel GmbH,2026-04-25,7219,Stainless steel flat >=600mm,iron_steel,CN,SUPP-CN-001,Shanghai Metals Corp,INST-CN-002-EAF,eaf,90.0,180000.00,0.65,58.50,actual,8.50,CUS-DE-2026-000060,BL-HAM-2026-0060
IMP-2026-0085,ALPINE-METAL-001,AlpineMetal AG,2026-04-28,7606,Aluminium plates sheets strip,aluminium,NO,SUPP-NO-001,Nordic Aluminium AS,INST-NO-001-SM,primary_smelting,130.0,338000.00,2.80,364.00,actual,85.00,CUS-AT-2026-000025,BL-VIE-2026-0025
IMP-2026-0086,EURO-GROUP-001,EuroSteel Group GmbH,2026-04-29,7208,Hot-rolled flat steel >=600mm,iron_steel,EG,SUPP-EG-001,Ezz Steel SAE,INST-EG-001-EAF,eaf,470.0,329000.00,0.60,282.00,actual,0.00,CUS-DE-2026-000061,BL-HAM-2026-0061
IMP-2026-0087,NORD-STAHL-001,NordStahl Handel GmbH,2026-04-30,7217,Wire of iron or non-alloy steel,iron_steel,TR,SUPP-TR-001,Anatolian Steel Works,INST-TR-002-EAF,eaf,270.0,216000.00,0.55,148.50,actual,0.00,CUS-DE-2026-000062,BL-HAM-2026-0062
IMP-2026-0088,ALPINE-METAL-001,AlpineMetal AG,2026-05-02,2523 10 00,Cement clinkers,cement,IN,SUPP-IN-001,Rajasthan Cement Ltd,INST-IN-001-CK,clinker_kiln,720.0,100800.00,0.95,684.00,actual,0.00,CUS-AT-2026-000026,BL-VIE-2026-0026
